graph_id,ctx_id,pos,token_id
0,0,0,0
0,0,1,0
1,0,0,248045
1,0,1,8678
1,0,2,198
1,0,3,24342
1,0,4,286
1,0,5,4879
1,0,6,369
1,0,7,716
1,0,8,310
1,0,9,830
1,0,10,11553
1,0,11,13
1,0,12,5044
1,0,13,1683
1,0,14,15060
1,0,15,1472
1,0,16,279
1,0,17,3274
1,0,18,11
1,0,19,9307
1,0,20,1328
1,0,21,30800
1,0,22,11
1,0,23,2814
1,0,24,47675
1,0,25,25605
1,0,26,11
1,0,27,321
1,0,28,60445
1,0,29,55404
1,0,30,11
1,0,31,27224
1,0,32,11
1,0,33,321
1,0,34,30246
1,0,35,303
1,0,36,279
1,0,37,1534
1,0,38,4087
1,0,39,13
1,0,40,248046
1,0,41,198
2,0,0,248045
2,0,1,846
2,0,2,198
2,0,3,21365
2,0,4,264
2,0,5,1898
2,0,6,9861
2,0,7,3598
2,0,8,11
2,0,9,5813
2,0,10,816
2,0,11,11
2,0,12,3202
2,0,13,11
2,0,14,3354
2,0,15,3625
2,0,16,8
2,0,17,321
2,0,18,6112
2,0,19,3598
2,0,20,11
2,0,21,803
2,0,22,11
2,0,23,3046
2,0,24,681
2,0,25,3165
2,0,26,7622
2,0,27,18959
2,0,28,25
2,0,29,1844
2,0,30,220
2,0,31,20
2,0,32,6112
2,0,33,539
2,0,34,12585
2,0,35,791
2,0,36,3046
2,0,37,11
2,0,38,2182
2,0,39,27335
2,0,40,21598
2,0,41,6310
2,0,42,11
2,0,43,321
2,0,44,6112
2,0,45,440
2,0,46,874
2,0,47,9861
2,0,48,303
2,0,49,220
2,0,50,24
2,0,51,15
2,0,52,2756
2,0,53,13
2,0,54,79091
2,0,55,279
2,0,56,10993
2,0,57,6440
2,0,58,13
2,0,59,248046
2,0,60,198
2,0,61,248045
3,0,0,74455
3,0,1,198
3,0,2,248068
3,0,3,198
4,0,0,1596
5,0,0,1144
6,0,0,4087
7,0,0,1156
8,0,0,25
9,0,0,15767
10,0,0,12269
11,0,0,9861
12,0,0,3598
13,0,0,11
14,0,0,5813
15,0,0,816
16,0,0,11
17,0,0,3202
18,0,0,11
19,0,0,3354
20,0,0,3625
21,0,0,8
22,0,0,321
23,0,0,6112
24,0,0,3598
25,0,0,11
26,0,0,803
27,0,0,11
28,0,0,3046
29,0,0,681
30,0,0,3165
31,0,0,7622
32,0,0,18959
33,0,0,25
34,0,0,1844
35,0,0,220
36,0,0,20
37,0,0,6112
38,0,0,539
39,0,0,12585
40,0,0,791
41,0,0,3046
42,0,0,11
43,0,0,2182
44,0,0,27335
45,0,0,21598
46,0,0,6310
47,0,0,11
48,0,0,321
49,0,0,6112
50,0,0,440
51,0,0,874
52,0,0,9861
53,0,0,303
54,0,0,220
55,0,0,24
56,0,0,15
57,0,0,2756
58,0,0,13
59,0,0,79091
60,0,0,10993
61,0,0,6440
62,0,0,13
63,0,0,271
64,0,0,22916
65,0,0,7936
66,0,0,1534
67,0,0,4087
68,0,0,13
69,0,0,14235
70,0,0,4222
71,0,0,2830
72,0,0,7622
73,0,0,364
74,0,0,4047
75,0,0,40874
76,0,0,30
77,0,0,16018
78,0,0,381
79,0,0,71100
80,0,0,14
81,0,0,57221
82,0,0,30
83,0,0,14235
84,0,0,6970
85,0,0,6088
86,0,0,40874
87,0,0,18336
88,0,0,13
89,0,0,14235
90,0,0,10033
91,0,0,10993
92,0,0,6440
93,0,0,1704
94,0,0,2586
95,0,0,321
96,0,0,1204
97,0,0,310
98,0,0,23331
99,0,0,318
100,0,0,3152
101,0,0,87759
102,0,0,63541
103,0,0,38877
104,0,0,36
105,0,0,553
106,0,0,14235
107,0,0,24163
108,0,0,18005
109,0,0,13
110,0,0,14235
111,0,0,16097
112,0,0,883
113,0,0,1844
114,0,0,220
115,0,0,20
116,0,0,791
117,0,0,3046
118,0,0,25
119,0,0,3136
120,0,0,709
121,0,0,44193
122,0,0,18777
123,0,0,363
124,0,0,888
125,0,0,16168
126,0,0,539
127,0,0,3046
128,0,0,1906
129,0,0,539
130,0,0,12585
131,0,0,6356
132,0,0,13
133,0,0,14235
134,0,0,3579
135,0,0,19213
136,0,0,30
137,0,0,16018
138,0,0,958
139,0,0,414
140,0,0,6166
141,0,0,67635
142,0,0,466
143,0,0,44193
144,0,0,18777
145,0,0,13
146,0,0,14235
147,0,0,12585
148,0,0,791
149,0,0,5813
150,0,0,791
151,0,0,3046
152,0,0,13
153,0,0,11033
154,0,0,25
155,0,0,198
156,0,0,43189
157,0,0,5813
158,0,0,1243
159,0,0,6917
160,0,0,5574
161,0,0,318
162,0,0,198
163,0,0,18519
164,0,0,272
165,0,0,1702
166,0,0,11
167,0,0,272
168,0,0,2557
169,0,0,11
170,0,0,272
171,0,0,32221
172,0,0,11
173,0,0,7057
174,0,0,65831
175,0,0,2036
176,0,0,3631
177,0,0,2705
178,0,0,9808
179,0,0,24474
180,0,0,681
181,0,0,15
182,0,0,8
183,0,0,12585
184,0,0,198
185,0,0,4154
186,0,0,6112
187,0,0,272
188,0,0,21244
189,0,0,12693
190,0,0,9861
191,0,0,296
192,0,0,6004
193,0,0,296
194,0,0,30737
195,0,0,816
196,0,0,18941
197,0,0,1702
198,0,0,198
199,0,0,26008
200,0,0,7466
201,0,0,272
202,0,0,1702
203,0,0,9809
204,0,0,2557
205,0,0,9809
206,0,0,32221
207,0,0,198
208,0,0,681
209,0,0,20364
210,0,0,5574
211,0,0,318
212,0,0,198
213,0,0,18519
214,0,0,11439
215,0,0,44193
216,0,0,18777
217,0,0,363
218,0,0,34291
219,0,0,318
220,0,0,32379
221,0,0,6871
222,0,0,7466
223,0,0,3046
224,0,0,15064
225,0,0,7466
226,0,0,12585
227,0,0,15616
228,0,0,11
229,0,0,850
230,0,0,8
231,0,0,53966
232,0,0,198
233,0,0,4154
234,0,0,5813
235,0,0,1243
236,0,0,6917
237,0,0,198
238,0,0,8
239,0,0,198
240,0,0,4703
241,0,0,3046
242,0,0,11
243,0,0,850
244,0,0,11
245,0,0,803
246,0,0,11
247,0,0,12585
248,0,0,4154
249,0,0,20364
250,0,0,5120
251,0,0,53966
252,0,0,7946
253,0,0,20
254,0,0,15064
255,0,0,7466
256,0,0,3046
257,0,0,11
258,0,0,53966
259,0,0,26
260,0,0,271
261,0,0,2592
262,0,0,1132
263,0,0,6112
264,0,0,440
265,0,0,9861
266,0,0,30
267,0,0,16018
268,0,0,958
269,0,0,29359
270,0,0,12693
271,0,0,13
272,0,0,6694
273,0,0,220
274,0,0,20
275,0,0,539
276,0,0,12585
277,0,0,791
278,0,0,3046
279,0,0,4222
280,0,0,6112
281,0,0,440
282,0,0,12585
283,0,0,13
284,0,0,1368
285,0,0,19213
286,0,0,11
287,0,0,414
288,0,0,6166
289,0,0,67635
290,0,0,6970
291,0,0,2830
292,0,0,19213
293,0,0,13
294,0,0,82210
295,0,0,13
296,0,0,271
297,0,0,10991
298,0,0,27335
299,0,0,21598
300,0,0,6310
301,0,0,25
302,0,0,14235
303,0,0,6762
304,0,0,13
305,0,0,16018
306,0,0,381
307,0,0,2702
308,0,0,12585
309,0,0,791
310,0,0,2182
311,0,0,321
312,0,0,6310
313,0,0,5972
314,0,0,3555
315,0,0,2182
316,0,0,13
317,0,0,11033
318,0,0,25
319,0,0,198
320,0,0,43189
321,0,0,14647
322,0,0,5574
323,0,0,318
324,0,0,198
325,0,0,18519
326,0,0,27611
327,0,0,91373
328,0,0,482
329,0,0,9943
330,0,0,504
331,0,0,3354
332,0,0,3625
333,0,0,8
334,0,0,5574
335,0,0,2182
336,0,0,4747
337,0,0,11
338,0,0,29732
339,0,0,32862
340,0,0,8
341,0,0,5574
342,0,0,12585
343,0,0,198
344,0,0,4154
345,0,0,9861
346,0,0,198
347,0,0,26008
348,0,0,7466
349,0,0,27611
350,0,0,91373
351,0,0,482
352,0,0,9943
353,0,0,504
354,0,0,3354
355,0,0,3625
356,0,0,8
357,0,0,198
358,0,0,8
359,0,0,198
360,0,0,4703
361,0,0,2182
362,0,0,4747
363,0,0,11
364,0,0,12585
365,0,0,11
366,0,0,198
367,0,0,436
368,0,0,1825
369,0,0,5620
370,0,0,6917
371,0,0,8
372,0,0,34291
373,0,0,318
374,0,0,13023
375,0,0,7466
376,0,0,2182
377,0,0,4747
378,0,0,8
379,0,0,5574
380,0,0,7624
381,0,0,1243
382,0,0,6917
383,0,0,11
384,0,0,198
385,0,0,37049
386,0,0,32519
387,0,0,436
388,0,0,1825
389,0,0,5620
390,0,0,6917
391,0,0,8
392,0,0,34291
393,0,0,318
394,0,0,13023
395,0,0,7466
396,0,0,2182
397,0,0,4747
398,0,0,8
399,0,0,3314
400,0,0,1708
401,0,0,2639
402,0,0,436
403,0,0,1825
404,0,0,5620
405,0,0,6917
406,0,0,11393
407,0,0,15
408,0,0,23362
409,0,0,1708
410,0,0,51148
411,0,0,318
412,0,0,265
413,0,0,6917
414,0,0,471
415,0,0,436
416,0,0,1825
417,0,0,5620
418,0,0,6917
419,0,0,8
420,0,0,34291
421,0,0,318
422,0,0,13023
423,0,0,7466
424,0,0,2182
425,0,0,4747
426,0,0,578
427,0,0,348
428,0,0,220
429,0,0,16
430,0,0,15
431,0,0,15
432,0,0,13
433,0,0,15
434,0,0,593
435,0,0,436
436,0,0,1825
437,0,0,5620
438,0,0,6917
439,0,0,8
440,0,0,34291
441,0,0,318
442,0,0,13023
443,0,0,7466
444,0,0,2182
445,0,0,4747
446,0,0,8
447,0,0,10851
448,0,0,5574
449,0,0,3259
450,0,0,47530
451,0,0,69084
452,0,0,198
453,0,0,29109
454,0,0,14647
455,0,0,15064
456,0,0,7466
457,0,0,2182
458,0,0,4747
459,0,0,26
460,0,0,271
461,0,0,12525
462,0,0,1048
463,0,0,791
464,0,0,5813
465,0,0,30
466,0,0,2570
467,0,0,2640
468,0,0,2182
469,0,0,27335
470,0,0,21598
471,0,0,6310
472,0,0,52920
473,0,0,13
474,0,0,16018
475,0,0,3300
476,0,0,7830
477,0,0,321
478,0,0,791
479,0,0,5813
480,0,0,30
481,0,0,10380
482,0,0,2830
483,0,0,2107
484,0,0,30
485,0,0,561
486,0,0,9640
487,0,0,25
488,0,0,328
489,0,0,21365
490,0,0,264
491,0,0,1898
492,0,0,9861
493,0,0,1076
494,0,0,3165
495,0,0,7622
496,0,0,18959
497,0,0,25
498,0,0,1844
499,0,0,220
500,0,0,20
501,0,0,6112
502,0,0,539
503,0,0,12585
504,0,0,791
505,0,0,3046
506,0,0,11
507,0,0,2182
508,0,0,27335
509,0,0,21598
510,0,0,6310
511,0,0,11
512,0,0,321
513,0,0,6112
514,0,0,440
