graph_id,ctx_id,pos,token_id
0,0,0,0
0,0,1,0
1,0,0,248045
1,0,1,8678
1,0,2,198
1,0,3,24342
1,0,4,286
1,0,5,4879
1,0,6,369
1,0,7,716
1,0,8,310
1,0,9,830
1,0,10,11553
1,0,11,13
1,0,12,5044
1,0,13,1683
1,0,14,15060
1,0,15,1472
1,0,16,279
1,0,17,3274
1,0,18,11
1,0,19,9307
1,0,20,1328
1,0,21,30800
1,0,22,11
1,0,23,2814
1,0,24,47675
1,0,25,25605
1,0,26,11
1,0,27,321
1,0,28,60445
1,0,29,55404
1,0,30,11
1,0,31,27224
1,0,32,11
1,0,33,321
1,0,34,30246
1,0,35,303
1,0,36,279
1,0,37,1534
1,0,38,4087
1,0,39,13
1,0,40,248046
1,0,41,198
2,0,0,248045
2,0,1,846
2,0,2,198
2,0,3,814
2,0,4,20139
2,0,5,279
2,0,6,20665
2,0,7,314
2,0,8,2184
2,0,9,74030
2,0,10,1861
2,0,11,11
2,0,12,17661
2,0,13,22782
2,0,14,13139
2,0,15,11
2,0,16,279
2,0,17,2088
2,0,18,1003
2,0,19,1154
2,0,20,2376
2,0,21,11
2,0,22,321
2,0,23,3069
2,0,24,1496
2,0,25,12
2,0,26,33413
2,0,27,2184
2,0,28,74030
2,0,29,1052
2,0,30,6922
2,0,31,29463
2,0,32,15513
2,0,33,13
2,0,34,9357
2,0,35,364
2,0,36,264
2,0,37,20665
2,0,38,39096
2,0,39,13
2,0,40,248046
2,0,41,198
2,0,42,248045
3,0,0,74455
3,0,1,198
3,0,2,248068
3,0,3,198
4,0,0,1596
5,0,0,1144
6,0,0,4087
7,0,0,1156
8,0,0,25
9,0,0,328
10,0,0,814
11,0,0,20139
12,0,0,279
13,0,0,20665
14,0,0,314
15,0,0,2184
16,0,0,74030
17,0,0,1861
18,0,0,11
19,0,0,17661
20,0,0,22782
21,0,0,13139
22,0,0,11
23,0,0,279
24,0,0,2088
25,0,0,1003
26,0,0,1154
27,0,0,2376
28,0,0,11
29,0,0,321
30,0,0,3069
31,0,0,1496
32,0,0,12
33,0,0,33413
34,0,0,2184
35,0,0,74030
36,0,0,1052
37,0,0,6922
38,0,0,29463
39,0,0,15513
40,0,0,13
41,0,0,9357
42,0,0,364
43,0,0,264
44,0,0,20665
45,0,0,39096
46,0,0,1149
47,0,0,271
48,0,0,22916
49,0,0,7936
50,0,0,1534
51,0,0,4087
52,0,0,13
53,0,0,14235
54,0,0,4222
55,0,0,11346
56,0,0,694
57,0,0,15156
58,0,0,82137
59,0,0,13
60,0,0,17227
61,0,0,417
62,0,0,6211
63,0,0,11
64,0,0,22782
65,0,0,13139
66,0,0,11
67,0,0,4649
68,0,0,12558
69,0,0,11
70,0,0,49113
71,0,0,263
72,0,0,78184
73,0,0,31296
74,0,0,11
75,0,0,9464
76,0,0,40249
77,0,0,11
78,0,0,6942
79,0,0,13250
80,0,0,11
81,0,0,2088
82,0,0,1003
83,0,0,1154
84,0,0,2376
85,0,0,11
86,0,0,6924
87,0,0,36655
88,0,0,11
89,0,0,42058
90,0,0,7739
91,0,0,11
92,0,0,913
93,0,0,353
94,0,0,14
95,0,0,5370
96,0,0,6970
97,0,0,11
98,0,0,29317
99,0,0,9966
100,0,0,1954
101,0,0,11
102,0,0,1496
103,0,0,9009
104,0,0,66
105,0,0,10212
106,0,0,64241
107,0,0,11
108,0,0,70402
109,0,0,46124
110,0,0,11
111,0,0,3619
112,0,0,66487
113,0,0,11
114,0,0,48939
115,0,0,525
116,0,0,385
117,0,0,11
118,0,0,293
119,0,0,85213
120,0,0,11
121,0,0,12253
122,0,0,62368
123,0,0,11
124,0,0,6639
125,0,0,314
126,0,0,23122
127,0,0,11
128,0,0,52652
129,0,0,16337
130,0,0,11
131,0,0,7009
132,0,0,22373
133,0,0,13
134,0,0,14235
135,0,0,6970
136,0,0,36655
137,0,0,25
138,0,0,417
139,0,0,6211
140,0,0,12558
141,0,0,11
142,0,0,8751
143,0,0,2643
144,0,0,11
145,0,0,75166
146,0,0,2984
147,0,0,11
148,0,0,6924
149,0,0,42058
150,0,0,7739
151,0,0,11
152,0,0,29317
153,0,0,29144
154,0,0,13
155,0,0,79091
156,0,0,3069
157,0,0,6942
158,0,0,13250
159,0,0,524
160,0,0,1066
161,0,0,4574
162,0,0,94494
163,0,0,25
164,0,0,2088
165,0,0,1003
166,0,0,1154
167,0,0,2376
168,0,0,28868
169,0,0,57880
170,0,0,9956
171,0,0,13
172,0,0,22782
173,0,0,6505
174,0,0,17465
175,0,0,25
176,0,0,94872
177,0,0,72
178,0,0,9117
179,0,0,53442
180,0,0,4016
181,0,0,310
182,0,0,82698
183,0,0,7234
184,0,0,31296
185,0,0,11
186,0,0,13139
187,0,0,440
188,0,0,13600
189,0,0,4299
190,0,0,64
191,0,0,25880
192,0,0,1283
193,0,0,11
194,0,0,41231
195,0,0,13609
196,0,0,26816
197,0,0,11
198,0,0,9956
199,0,0,75166
200,0,0,13
201,0,0,14235
202,0,0,6088
203,0,0,369
204,0,0,48976
205,0,0,2376
206,0,0,11
207,0,0,49113
208,0,0,2305
209,0,0,13
210,0,0,4962
211,0,0,9009
212,0,0,66
213,0,0,25
214,0,0,10212
215,0,0,64241
216,0,0,11
217,0,0,10679
218,0,0,5792
219,0,0,11
220,0,0,175152
221,0,0,17703
222,0,0,30
223,0,0,180481
224,0,0,17703
225,0,0,1496
226,0,0,7035
227,0,0,6970
228,0,0,20066
229,0,0,64498
230,0,0,694
231,0,0,1990
232,0,0,80172
233,0,0,13
234,0,0,43191
235,0,0,391
236,0,0,15513
237,0,0,25
238,0,0,874
239,0,0,3074
240,0,0,85928
241,0,0,9826
242,0,0,11
243,0,0,3619
244,0,0,16224
245,0,0,34789
246,0,0,2176
247,0,0,21207
248,0,0,11
249,0,0,2397
250,0,0,7049
251,0,0,4056
252,0,0,72
253,0,0,14058
254,0,0,11
255,0,0,25333
256,0,0,9861
257,0,0,11
258,0,0,293
259,0,0,85213
260,0,0,46124
261,0,0,11
262,0,0,48939
263,0,0,525
264,0,0,385
265,0,0,11
266,0,0,3364
267,0,0,314
268,0,0,12253
269,0,0,62368
270,0,0,5972
271,0,0,49113
272,0,0,2305
273,0,0,11
274,0,0,7009
275,0,0,28487
276,0,0,73047
277,0,0,11
278,0,0,1496
279,0,0,4649
280,0,0,27477
281,0,0,11
282,0,0,6639
283,0,0,314
284,0,0,4145
285,0,0,168889
286,0,0,558
287,0,0,15764
288,0,0,13
289,0,0,14235
290,0,0,3165
291,0,0,364
292,0,0,20665
293,0,0,82137
294,0,0,25
295,0,0,958
296,0,0,22672
297,0,0,536
298,0,0,694
299,0,0,22825
300,0,0,13
301,0,0,10380
302,0,0,5759
303,0,0,13753
304,0,0,13
305,0,0,271
306,0,0,22916
307,0,0,5790
308,0,0,874
309,0,0,39072
310,0,0,7929
311,0,0,13
312,0,0,16018
313,0,0,6088
314,0,0,417
315,0,0,6211
316,0,0,22452
317,0,0,1068
318,0,0,25
319,0,0,462
320,0,0,283
321,0,0,2542
322,0,0,17450
323,0,0,4546
324,0,0,272
325,0,0,80390
326,0,0,66
327,0,0,478
328,0,0,2542
329,0,0,629
330,0,0,272
331,0,0,80390
332,0,0,272
333,0,0,80390
334,0,0,272
335,0,0,272
336,0,0,13
337,0,0,25164
338,0,0,286
339,0,0,12558
340,0,0,78365
341,0,0,4004
342,0,0,553
343,0,0,345
344,0,0,66
345,0,0,3835
346,0,0,220
347,0,0,16
348,0,0,13
349,0,0,16
350,0,0,19
351,0,0,156840
352,0,0,1502
353,0,0,1295
354,0,0,3944
355,0,0,16
356,0,0,19674
357,0,0,7
358,0,0,15
359,0,0,74743
360,0,0,553
361,0,0,3422
362,0,0,49634
363,0,0,2984
364,0,0,157268
365,0,0,15
366,0,0,283
367,0,0,9551
368,0,0,100
369,0,0,343
370,0,0,1352
371,0,0,593
372,0,0,50003
373,0,0,168977
374,0,0,13
375,0,0,6924
376,0,0,42058
377,0,0,46726
378,0,0,13
379,0,0,66932
380,0,0,29144
381,0,0,304
382,0,0,14
383,0,0,17
384,0,0,68
385,0,0,13
386,0,0,271
387,0,0,22916
388,0,0,10033
389,0,0,2088
390,0,0,1003
391,0,0,1154
392,0,0,25
393,0,0,417
394,0,0,1566
395,0,0,912
396,0,0,1295
397,0,0,3944
398,0,0,87
399,0,0,14
400,0,0,32375
401,0,0,681
402,0,0,4574
403,0,0,12392
404,0,0,61098
405,0,0,2074
406,0,0,11
407,0,0,91611
408,0,0,5028
409,0,0,26054
410,0,0,303
411,0,0,2002
412,0,0,11
413,0,0,18402
414,0,0,19902
415,0,0,494
416,0,0,4574
417,0,0,58709
418,0,0,13
419,0,0,6924
420,0,0,22868
421,0,0,11654
422,0,0,229
423,0,0,28495
424,0,0,33
425,0,0,283
426,0,0,417
427,0,0,14
428,0,0,32375
429,0,0,28495
430,0,0,11
431,0,0,11654
432,0,0,224
433,0,0,41
434,0,0,14
435,0,0,21033
436,0,0,224
437,0,0,83
438,0,0,283
439,0,0,307
440,0,0,625
441,0,0,378
442,0,0,28495
443,0,0,3082
444,0,0,458
445,0,0,13
446,0,0,3856
447,0,0,7696
448,0,0,25
449,0,0,343
450,0,0,366
451,0,0,1175
452,0,0,11
453,0,0,8156
454,0,0,8751
455,0,0,2002
456,0,0,11
457,0,0,8712
458,0,0,1187
459,0,0,13
460,0,0,271
461,0,0,11635
462,0,0,9009
463,0,0,66
464,0,0,25
465,0,0,10782
466,0,0,220
467,0,0,16
468,0,0,24
469,0,0,23
470,0,0,21
471,0,0,10212
472,0,0,64241
473,0,0,11
474,0,0,345
475,0,0,66
476,0,0,3294
477,0,0,14058
478,0,0,44857
479,0,0,13
480,0,0,25164
481,0,0,286
482,0,0,43614
483,0,0,293
484,0,0,85213
485,0,0,11
486,0,0,15532
487,0,0,278
488,0,0,168889
489,0,0,558
490,0,0,15764
491,0,0,11
492,0,0,3094
493,0,0,11108
494,0,0,433
495,0,0,36744
496,0,0,2594
497,0,0,380
498,0,0,1656
499,0,0,1583
500,0,0,10198
501,0,0,11
502,0,0,93484
503,0,0,13
504,0,0,26898
505,0,0,2074
506,0,0,4222
507,0,0,13934
508,0,0,318
509,0,0,40207
510,0,0,62368
511,0,0,8
512,0,0,694
513,0,0,77397
514,0,0,13
