graph_id,ctx_id,pos,token_id
0,0,0,0
0,0,1,0
1,0,0,248045
1,0,1,8678
1,0,2,198
1,0,3,24342
1,0,4,286
1,0,5,4879
1,0,6,369
1,0,7,716
1,0,8,310
1,0,9,830
1,0,10,11553
1,0,11,13
1,0,12,5044
1,0,13,1683
1,0,14,15060
1,0,15,1472
1,0,16,279
1,0,17,3274
1,0,18,11
1,0,19,9307
1,0,20,1328
1,0,21,30800
1,0,22,11
1,0,23,2814
1,0,24,47675
1,0,25,25605
1,0,26,11
1,0,27,321
1,0,28,60445
1,0,29,55404
1,0,30,11
1,0,31,27224
1,0,32,11
1,0,33,321
1,0,34,30246
1,0,35,303
1,0,36,279
1,0,37,1534
1,0,38,4087
1,0,39,13
1,0,40,248046
1,0,41,198
2,0,0,248045
2,0,1,846
2,0,2,198
2,0,3,1289
2,0,4,571
2,0,5,421
2,0,6,279
2,0,7,9057
2,0,8,3578
2,0,9,314
2,0,10,220
2,0,11,17
2,0,12,369
2,0,13,58609
2,0,14,11
2,0,15,1179
2,0,16,11774
2,0,17,279
2,0,18,78332
2,0,19,768
2,0,20,314
2,0,21,47770
2,0,22,1608
2,0,23,21286
2,0,24,72490
2,0,25,579
2,0,26,5515
2,0,27,11
2,0,28,321
2,0,29,5326
2,0,30,1420
2,0,31,421
2,0,32,1017
2,0,33,513
2,0,34,82698
2,0,35,3349
2,0,36,31092
2,0,37,1881
2,0,38,23173
2,0,39,47770
2,0,40,13
2,0,41,248046
2,0,42,198
2,0,43,248045
3,0,0,74455
3,0,1,198
3,0,2,248068
3,0,3,198
4,0,0,1596
5,0,0,1144
6,0,0,4087
7,0,0,1156
8,0,0,25
9,0,0,328
10,0,0,1289
11,0,0,571
12,0,0,421
13,0,0,279
14,0,0,9057
15,0,0,3578
16,0,0,314
17,0,0,220
18,0,0,17
19,0,0,369
20,0,0,58609
21,0,0,11
22,0,0,1179
23,0,0,11774
24,0,0,279
25,0,0,78332
26,0,0,768
27,0,0,314
28,0,0,47770
29,0,0,1608
30,0,0,21286
31,0,0,72490
32,0,0,579
33,0,0,5515
34,0,0,11
35,0,0,321
36,0,0,5326
37,0,0,1420
38,0,0,421
39,0,0,1017
40,0,0,513
41,0,0,82698
42,0,0,3349
43,0,0,31092
44,0,0,1881
45,0,0,23173
46,0,0,47770
47,0,0,1149
48,0,0,271
49,0,0,22916
50,0,0,7936
51,0,0,1534
52,0,0,440
53,0,0,74519
54,0,0,13
55,0,0,14235
56,0,0,381
57,0,0,16097
58,0,0,25
59,0,0,82698
60,0,0,3349
61,0,0,31092
62,0,0,1881
63,0,0,23173
64,0,0,47770
65,0,0,25
66,0,0,5129
67,0,0,10741
68,0,0,25
69,0,0,364
70,0,0,866
71,0,0,307
72,0,0,11
73,0,0,2814
74,0,0,318
75,0,0,77
76,0,0,10
77,0,0,16
78,0,0,39931
79,0,0,10
80,0,0,17
81,0,0,27736
82,0,0,12579
83,0,0,77
84,0,0,10
85,0,0,16
86,0,0,39931
87,0,0,10
88,0,0,77
89,0,0,10
90,0,0,16
91,0,0,513
92,0,0,26816
93,0,0,11
94,0,0,748
95,0,0,12558
96,0,0,506
97,0,0,3140
98,0,0,307
99,0,0,1881
100,0,0,47770
101,0,0,30
102,0,0,14235
103,0,0,65912
104,0,0,23173
105,0,0,47770
106,0,0,12558
107,0,0,82698
108,0,0,3349
109,0,0,13
110,0,0,1690
111,0,0,866
112,0,0,295
113,0,0,11
114,0,0,4992
115,0,0,443
116,0,0,4391
117,0,0,76
118,0,0,10
119,0,0,16
120,0,0,39931
121,0,0,10
122,0,0,17
123,0,0,30
124,0,0,561
125,0,0,8240
126,0,0,443
127,0,0,27736
128,0,0,11
129,0,0,45
130,0,0,57838
131,0,0,12
132,0,0,16
133,0,0,30
134,0,0,6558
135,0,0,579
136,0,0,1716
137,0,0,13
138,0,0,1690
139,0,0,866
140,0,0,580
141,0,0,11
142,0,0,2814
143,0,0,318
144,0,0,74
145,0,0,10
146,0,0,16
147,0,0,39931
148,0,0,10
149,0,0,17
150,0,0,11
151,0,0,58317
152,0,0,318
153,0,0,74
154,0,0,10
155,0,0,16
156,0,0,39931
157,0,0,12975
158,0,0,74
159,0,0,10
160,0,0,16
161,0,0,553
162,0,0,8618
163,0,0,4496
164,0,0,72364
165,0,0,539
166,0,0,220
167,0,0,17
168,0,0,27736
169,0,0,11
170,0,0,74
171,0,0,10
172,0,0,16
173,0,0,15119
174,0,0,11
175,0,0,26816
176,0,0,13
177,0,0,2844
178,0,0,579
179,0,0,580
180,0,0,23173
181,0,0,26816
182,0,0,24959
183,0,0,13
184,0,0,13891
185,0,0,1017
186,0,0,369
187,0,0,264
188,0,0,1542
189,0,0,314
190,0,0,506
191,0,0,3140
192,0,0,580
193,0,0,26816
194,0,0,4947
195,0,0,13
196,0,0,4844
197,0,0,1881
198,0,0,279
199,0,0,9944
200,0,0,1518
201,0,0,279
202,0,0,1542
203,0,0,321
204,0,0,279
205,0,0,9944
206,0,0,1238
207,0,0,279
208,0,0,1542
209,0,0,11
210,0,0,12558
211,0,0,835
212,0,0,580
213,0,0,30
214,0,0,14235
215,0,0,5790
216,0,0,23173
217,0,0,47770
218,0,0,12558
219,0,0,506
220,0,0,3140
221,0,0,580
222,0,0,10
223,0,0,16
224,0,0,30
225,0,0,1368
226,0,0,1017
227,0,0,513
228,0,0,580
229,0,0,23173
230,0,0,26816
231,0,0,4947
232,0,0,11
233,0,0,1179
234,0,0,1017
235,0,0,2905
236,0,0,23173
237,0,0,47770
238,0,0,280
239,0,0,27
240,0,0,80
241,0,0,440
242,0,0,2715
243,0,0,2195
244,0,0,835
245,0,0,580
246,0,0,30
247,0,0,6558
248,0,0,579
249,0,0,2781
250,0,0,25
251,0,0,6558
252,0,0,264
253,0,0,4391
254,0,0,74
255,0,0,10
256,0,0,16
257,0,0,39931
258,0,0,10
259,0,0,17
260,0,0,11
261,0,0,292
262,0,0,4391
263,0,0,74
264,0,0,10
265,0,0,16
266,0,0,39931
267,0,0,12975
268,0,0,74
269,0,0,10
270,0,0,16
271,0,0,553
272,0,0,2532
273,0,0,513
274,0,0,580
275,0,0,26816
276,0,0,4947
277,0,0,264
278,0,0,27736
279,0,0,11
280,0,0,65
281,0,0,13
282,0,0,6558
283,0,0,280
284,0,0,381
285,0,0,7526
286,0,0,9944
287,0,0,361
288,0,0,264
289,0,0,11
290,0,0,2715
291,0,0,23856
292,0,0,9944
293,0,0,835
294,0,0,292
295,0,0,13
296,0,0,4844
297,0,0,280
298,0,0,321
299,0,0,2715
300,0,0,513
301,0,0,23173
302,0,0,47770
303,0,0,30
304,0,0,2532
305,0,0,513
306,0,0,874
307,0,0,47770
308,0,0,1881
309,0,0,280
310,0,0,321
311,0,0,2715
312,0,0,1521
313,0,0,280
314,0,0,369
315,0,0,7526
316,0,0,3559
317,0,0,264
318,0,0,11
319,0,0,2715
320,0,0,23856
321,0,0,3294
322,0,0,292
323,0,0,11
324,0,0,321
325,0,0,264
326,0,0,486
327,0,0,65
328,0,0,26816
329,0,0,13
330,0,0,1987
331,0,0,2715
332,0,0,2195
333,0,0,2518
334,0,0,318
335,0,0,65
336,0,0,10
337,0,0,16
338,0,0,49629
339,0,0,64
340,0,0,12
341,0,0,16
342,0,0,11504
343,0,0,32645
344,0,0,280
345,0,0,2564
346,0,0,264
347,0,0,12
348,0,0,16
349,0,0,11
350,0,0,2715
351,0,0,2518
352,0,0,292
353,0,0,10
354,0,0,16
355,0,0,11
356,0,0,748
357,0,0,2715
358,0,0,2195
359,0,0,2518
360,0,0,292
361,0,0,10
362,0,0,16
363,0,0,471
364,0,0,318
365,0,0,64
366,0,0,12
367,0,0,16
368,0,0,8
369,0,0,283
370,0,0,292
371,0,0,7174
372,0,0,10
373,0,0,17
374,0,0,283
375,0,0,580
376,0,0,10
377,0,0,16
378,0,0,30
379,0,0,8439
380,0,0,264
381,0,0,310
382,0,0,292
383,0,0,27389
384,0,0,2984
385,0,0,580
386,0,0,11
387,0,0,292
388,0,0,7174
389,0,0,10
390,0,0,16
391,0,0,43650
392,0,0,11
393,0,0,748
394,0,0,292
395,0,0,7174
396,0,0,10
397,0,0,17
398,0,0,43650
399,0,0,10
400,0,0,16
401,0,0,13
402,0,0,13891
403,0,0,12558
404,0,0,506
405,0,0,3140
406,0,0,580
407,0,0,10
408,0,0,16
409,0,0,13
410,0,0,1690
411,0,0,23410
412,0,0,3349
413,0,0,31092
414,0,0,11
415,0,0,364
416,0,0,866
417,0,0,469
418,0,0,4992
419,0,0,580
420,0,0,88838
421,0,0,11
422,0,0,615
423,0,0,12558
424,0,0,835
425,0,0,469
426,0,0,30
427,0,0,1368
428,0,0,1318
429,0,0,82698
430,0,0,3349
431,0,0,31092
432,0,0,1881
433,0,0,23173
434,0,0,47770
435,0,0,25
436,0,0,364
437,0,0,866
438,0,0,443
439,0,0,11
440,0,0,1017
441,0,0,2905
442,0,0,23173
443,0,0,47770
444,0,0,280
445,0,0,34016
446,0,0,440
447,0,0,2715
448,0,0,2195
449,0,0,835
450,0,0,443
451,0,0,13
452,0,0,21513
453,0,0,580
454,0,0,50247
455,0,0,11
456,0,0,615
457,0,0,12558
458,0,0,506
459,0,0,3140
460,0,0,443
461,0,0,10
462,0,0,16
463,0,0,13
464,0,0,2441
465,0,0,4992
466,0,0,318
467,0,0,45
468,0,0,10
469,0,0,16
470,0,0,39931
471,0,0,10
472,0,0,17
473,0,0,1076
474,0,0,12975
475,0,0,45
476,0,0,10
477,0,0,16
478,0,0,39931
479,0,0,10
480,0,0,45
481,0,0,10
482,0,0,16
483,0,0,2984
484,0,0,443
485,0,0,11
486,0,0,12558
487,0,0,506
488,0,0,3140
489,0,0,443
490,0,0,10
491,0,0,16
492,0,0,13
493,0,0,7441
494,0,0,13
495,0,0,271
496,0,0,22916
497,0,0,11774
498,0,0,17410
499,0,0,17
500,0,0,58609
501,0,0,25
502,0,0,5129
503,0,0,48086
504,0,0,25
505,0,0,9370
506,0,0,280
507,0,0,32773
508,0,0,303
509,0,0,15003
510,0,0,3665
511,0,0,11
512,0,0,280
513,0,0,61
514,0,0,17
