prompt,slots,events,pool_hit8_pct,fifo_recall8_pct,fifo_recall16_pct,same_layer_cross_token_overlap8_pct,same_layer_cross_token_jaccard8_pct
chat_en_1,22,28290,51.87610463061152,20.859402615765287,39.54312477907388,34.48852772466539,24.16404893566242
chat_en_1,44,28290,66.90659243548957,15.744962884411454,28.797720042417815,34.48852772466539,24.16404893566242
chat_en_2,22,28008,51.55223507569266,20.649457297914882,39.14640459868609,36.34075464949928,25.80504148529582
chat_en_2,44,28008,67.0205834047415,15.170665524135961,28.33252999143102,36.34075464949928,25.80504148529582
chat_en_3,22,28243,50.786035477817514,21.627482916120808,39.41419112700492,35.32496896612874,24.904420164569633
chat_en_3,44,28243,65.79550685125518,16.03893000035407,29.046577913111214,35.32496896612874,24.904420164569633
chat_en_4,22,15575,48.90449438202247,21.462279293739968,38.34751203852328,35.46161525085335,24.44325830813937
chat_en_4,44,15575,62.99518459069021,16.975120385232746,29.741573033707866,35.46161525085335,24.44325830813937
chat_zh_1,22,28196,53.47833025961129,22.148088381330684,41.23944885799404,36.678005542134436,26.0050675170722
chat_zh_1,44,28196,67.31096609448149,17.05605405021989,30.800911476805222,36.678005542134436,26.0050675170722
chat_zh_2,22,28243,50.85021067167086,21.393354105442057,39.31062564175194,35.76032984571732,25.234800036712357
chat_zh_2,44,28243,65.10551287044578,16.809474914138015,30.098608504762243,35.76032984571732,25.234800036712357
chat_zh_3,22,28243,51.371136210742485,22.072725985199874,39.805438515738416,35.64949459123958,24.90466677024274
chat_zh_3,44,28243,66.06946854087738,17.001115320610417,30.54429416138512,35.64949459123958,24.90466677024274
code-algorithm,22,28572,48.16166176676467,20.586588268234635,37.32019109617808,34.50646823727387,24.038230346599345
code-algorithm,44,28572,63.15098698026039,15.720810583788325,27.918941621167576,34.50646823727387,24.038230346599345
code-cpp,22,28807,51.36121428819384,20.906810844586385,38.966223487346824,36.45641364442435,25.66455346523857
code-cpp,44,28807,67.45452494185442,15.262783351268789,28.325146665740967,36.45641364442435,25.66455346523857
code-python,22,28478,48.808290610295664,19.97638527986516,37.16640915794648,33.58907843826943,23.01946952878815
code-python,44,28478,65.02256127537046,15.166093124517172,27.764853571177753,33.58907843826943,23.01946952878815
code-rust,22,28713,48.02963814300143,20.019242155121372,36.973670462856546,33.6704168847026,23.22477189457534
code-rust,44,28713,63.254884547069274,15.15385017239578,27.21023578170167,33.6704168847026,23.22477189457534
code-sql,22,29700,46.793771043771045,19.362373737373737,36.0753367003367,32.652940779711315,22.164848431539237
code-sql,44,29700,61.87752525252525,15.19486531986532,27.264309764309765,32.652940779711315,22.164848431539237
code_cpp_1,22,28478,48.211777512465765,19.475121146147902,36.89558606643725,32.696975026380585,22.61618031790144
code_cpp_1,44,28478,64.29305077603765,14.946186529952946,27.58445115527776,32.696975026380585,22.61618031790144
code_cpp_2,22,28102,49.23137143263825,20.979823500106754,38.078250658316136,35.91466457546161,25.229930039223472
code_cpp_2,44,28102,64.37442174934168,15.751547932531492,28.154134937015158,35.91466457546161,25.229930039223472
code_js_1,22,28384,49.00472096956032,20.87003241262683,37.77964698421646,34.51528091473744,23.83143395283158
code_js_1,44,28384,64.22236118940248,15.813486471251409,28.160231116121757,34.51528091473744,23.83143395283158
code_py_1,22,28243,47.956130722656944,19.478277803349503,36.59889176079029,31.96932080156056,21.893169154738217
code_py_1,44,28243,64.49872534787382,14.901037425202706,27.94896080444712,31.96932080156056,21.893169154738217
code_py_2,22,27961,50.63749508243625,21.590787167840922,39.09150244984085,36.217443485114465,25.179848712249754
code_py_2,44,27961,65.43846786595616,16.229748578377023,28.630950252136905,36.217443485114465,25.179848712249754
code_sql_1,22,29183,45.07847034232258,18.886423602782443,34.5526505157112,32.1022824781191,21.696105774359527
code_sql_1,44,29183,60.34035225987733,14.545283212829387,26.254154816160092,32.1022824781191,21.696105774359527
dialogue,22,28807,41.747665497969244,18.282014788072342,32.53549484500295,28.739264230327898,19.306570854954114
dialogue,44,28807,56.781771791578436,14.501249696254382,25.526347762696567,28.739264230327898,19.306570854954114
en-biology,22,28666,55.516988767180635,22.487441568408567,42.23339496267355,39.86040254385352,28.995929331379358
en-biology,44,28666,70.63027628549501,16.72102839600921,30.818303914044513,39.86040254385352,28.995929331379358
en-climate,22,28619,52.334113700688356,22.517820329151963,40.92604563401936,37.59012635189528,26.649634864954415
en-climate,44,28619,65.83563366993955,17.304500506656417,30.95495999161396,37.59012635189528,26.649634864954415
en-cooking,22,28431,54.82220111849742,21.137578699307095,40.97420069642292,37.627276891096784,27.163631484524487
en-cooking,44,28431,70.67065878794274,15.349442509936337,29.38561781154374,37.627276891096784,27.163631484524487
en-economics,22,28760,52.47392211404729,21.149165507649514,39.822235744089014,37.445144887155195,26.747705175536886
en-economics,44,28760,67.34353268428373,15.864481919332405,29.39760083449235,37.445144887155195,26.747705175536886
en-history,22,28431,49.47152755794731,20.059969751327777,37.79281418170307,33.34434344501991,23.3377779134014
en-history,44,28431,64.87285005803524,15.735464809538884,28.723488445710668,33.34434344501991,23.3377779134014
en-legal,22,28525,52.1603856266433,21.164767747589835,39.69412795793164,37.283158338308105,26.423239919039773
en-legal,44,28525,67.99649430324277,15.425503943908852,28.498247151621385,37.283158338308105,26.423239919039773
en-medicine,22,28995,57.138299706846006,22.531039834454216,42.94490429384376,42.489290772791655,31.135168382550017
en-medicine,44,28995,72.63278151405414,15.69365407828936,29.58182445249181,42.489290772791655,31.135168382550017
en-philosophy,22,28431,48.09055256586121,19.630860680243398,36.62023847209032,32.84228235211218,22.56997415437066
en-philosophy,44,28431,64.15268544898174,15.282174387112658,27.94792655903767,32.84228235211218,22.56997415437066
en-physics,22,28807,54.18474676293956,22.137414517304823,41.23520324921026,38.923467436280816,28.31829243039291
en-physics,44,28807,68.89948623598431,16.284236470302357,30.015707987641893,38.923467436280816,28.31829243039291
en-story,22,28666,49.215098025535475,21.10514198004605,38.195510360706066,35.03389475155497,24.231207560577662
en-story,44,28666,63.63767180632108,16.397910416521313,29.26681434451964,35.03389475155497,24.231207560577662
japanese,22,28525,58.02892199824715,23.510078878177037,44.25810692375109,42.762141377251815,30.96876809557034
japanese,44,28525,71.36941279579317,17.493865030674847,31.569237510955304,42.762141377251815,30.96876809557034
long_en_1,22,28478,46.6667251913758,20.951699557553198,36.48605941428471,34.09514597256419,23.402909749020345
long_en_1,44,28478,61.67611840719152,16.101464288222488,27.496664091579465,34.09514597256419,23.402909749020345
long_en_2,22,28431,51.11761809292673,21.07162955928388,39.34349829411558,35.36976359088187,24.917774603851434
long_en_2,44,28431,66.31229995427526,16.092029826597727,29.181175477471776,35.36976359088187,24.917774603851434
long_zh_1,22,28384,58.248485062006765,24.05668686583991,44.45418193348365,42.59952004517222,30.708696614256215
long_zh_1,44,28384,73.22699408117249,17.31389162908681,31.373308906426157,42.59952004517222,30.708696614256215
math-calc,22,29371,45.1176330393926,18.39697320486194,34.28126383167069,30.81582716638816,20.862863070683993
math-calc,44,29371,59.598753872867796,14.622416669503933,26.72661809267645,30.81582716638816,20.862863070683993
math-proof,22,28854,50.97343522561863,21.505683787343177,39.32990226658349,37.14330347844199,25.79512389759873
math-proof,44,28854,65.56066749844042,15.842257572606918,28.455760033270952,37.14330347844199,25.79512389759873
math_1,22,28948,44.62657178388835,19.03931186955921,34.48338399889457,30.82309688581315,20.841032477708627
math_1,44,28948,59.36679563354981,15.066239463866243,26.76782506563493,30.82309688581315,20.841032477708627
math_2,22,28337,45.26590676500688,18.987542788580303,34.60052228535131,31.371292728622432,21.26869481671484
math_2,44,28337,61.28162825987225,14.391078801566856,25.99869428662173,31.371292728622432,21.26869481671484
math_3,22,28572,42.960765784684305,19.013369732605348,33.99569508609828,30.27275276959753,20.629184461744497
math_3,44,28572,56.52561948761025,15.403629427411452,26.527281954360912,30.27275276959753,20.629184461744497
reason_1,22,28572,44.10918031639367,19.462235755284894,34.4712480750385,30.681180760061704,20.754679963765113
reason_1,44,28572,59.307626347473054,15.362942741145178,26.772714545709086,30.681180760061704,20.754679963765113
reason_2,22,29841,45.46722629938675,20.396015549076772,35.750309976207234,32.99474708824221,22.514075801757983
reason_2,44,29841,59.680892061258,15.788680004021312,27.328591535136223,32.99474708824221,22.514075801757983
sum_1,22,16322,45.30771351550055,19.266174488420535,34.94746354613405,32.00580680840605,21.938693671519516
sum_1,44,16322,60.02098394804558,15.073214066903565,26.951354000735204,32.00580680840605,21.938693671519516
summarize,22,12336,46.08665693904021,20.60838197146563,36.17663748378729,32.3211669921875,21.962653954841624
summarize,44,12336,60.41261348897536,16.3251864461738,28.3793369001297,32.3211669921875,21.962653954841624
trans_1,22,22667,44.82066440199409,19.471588653108043,34.796179467949,32.06209381493435,21.653970357272197
trans_1,44,22667,58.99986764900516,15.031764238761195,26.670379847355186,32.06209381493435,21.653970357272197
trans_2,22,18099,46.887949610475715,20.584700812199568,36.58558483894138,32.92130629882001,22.479138008472276
trans_2,44,18099,61.032377479418756,16.414580916072712,28.648682247637993,32.92130629882001,22.479138008472276
translation,22,29606,43.18296966831048,19.476204147807877,34.30765723164223,30.92521483185601,20.914162034668635
translation,44,29606,57.298351685469164,15.27097547794366,26.305478619198812,30.92521483185601,20.914162034668635
zh-economy,22,28243,56.11744503062706,21.274740643699324,41.581099741528874,37.148873913814505,26.712964834614375
zh-economy,44,28243,72.35598201324223,15.888007647912756,30.571734589101723,37.148873913814505,26.712964834614375
zh-history,22,28666,53.10646759226959,21.865188725319193,40.46300495360357,36.64433223845133,26.028093865116244
zh-history,44,28666,68.77267494592897,16.46593525430824,30.16552710528152,36.64433223845133,26.028093865116244
zh-physics,22,28713,49.66609201407028,20.72536830007314,37.984536621042736,34.70347113204256,24.33240353072579
zh-physics,44,28713,65.83777383066904,15.678873680911085,28.87977571135026,34.70347113204256,24.33240353072579
zh-poem,22,28478,58.788801882154644,23.68056043261465,44.821002177119176,42.893510376363,30.878468621695788
zh-poem,44,28478,72.7056850902451,17.046053093616123,31.093300091298545,42.893510376363,30.878468621695788
zh-story,22,28525,59.33085013146363,24.763803680981596,45.27914110429448,44.003932998560245,31.76481737565992
zh-story,44,28525,73.83523225241017,17.578878177037687,31.798422436459248,44.003932998560245,31.76481737565992
zh-tech,22,28713,52.98427541531711,22.234266708459582,40.89523909030753,37.650008721437295,26.735647746632893
zh-tech,44,28713,68.23607773482395,16.509072545536863,29.933305471389268,37.650008721437295,26.735647746632893
