variant,k,layer,recall,samples
fifo,1,0,0.305,1200
fifo,1,1,0.6083333333333333,1200
fifo,1,2,0.5091666666666667,1200
fifo,1,3,0.6566666666666666,1200
fifo,1,4,0.73,1200
fifo,1,5,0.7325,1200
fifo,1,6,0.8033333333333333,1200
fifo,1,7,0.7741666666666667,1200
fifo,1,8,0.7816666666666666,1200
fifo,1,9,0.6808333333333333,1200
fifo,1,10,0.7716666666666666,1200
fifo,1,11,0.655,1200
fifo,1,12,0.72,1200
fifo,1,13,0.6716666666666666,1200
fifo,1,14,0.715,1200
fifo,1,15,0.7791666666666667,1200
fifo,1,16,0.7783333333333333,1200
fifo,1,17,0.6208333333333333,1200
fifo,1,18,0.7216666666666667,1200
fifo,1,19,0.78,1200
fifo,1,20,0.6233333333333333,1200
fifo,1,21,0.74,1200
fifo,1,22,0.4683333333333333,1200
fifo,1,23,0.7533333333333333,1200
fifo,1,24,0.7891666666666667,1200
fifo,1,25,0.6716666666666666,1200
fifo,1,26,0.7558333333333334,1200
fifo,1,27,0.6816666666666666,1200
fifo,1,28,0.7908333333333334,1200
fifo,1,29,0.75,1200
fifo,1,30,0.7333333333333333,1200
fifo,1,31,0.7791666666666667,1200
fifo,1,32,0.7758333333333334,1200
fifo,1,33,0.6583333333333333,1200
fifo,1,34,0.6958333333333333,1200
fifo,1,35,0.7033333333333334,1200
fifo,1,36,0.665,1200
fifo,1,37,0.6466666666666666,1200
fifo,1,38,0.37083333333333335,1200
fifo,1,39,0.805,1200
fifo,1,40,0.7708333333333334,1200
fifo,1,41,0.58,1200
fifo,1,42,0.6558333333333334,1200
fifo,1,43,0.65,1200
fifo,1,44,0.6516666666666666,1200
fifo,1,45,0.5916666666666667,1200
fifo,1,46,0.5433333333333333,1200
fifo,2,0,0.36833333333333335,1200
fifo,2,1,0.4125,1200
fifo,2,2,0.5166666666666667,1200
fifo,2,3,0.5375,1200
fifo,2,4,0.6458333333333334,1200
fifo,2,5,0.7466666666666667,1200
fifo,2,6,0.72,1200
fifo,2,7,0.7166666666666667,1200
fifo,2,8,0.7025,1200
fifo,2,9,0.6258333333333334,1200
fifo,2,10,0.6375,1200
fifo,2,11,0.625,1200
fifo,2,12,0.6175,1200
fifo,2,13,0.555,1200
fifo,2,14,0.7108333333333333,1200
fifo,2,15,0.6758333333333333,1200
