request_id,graph_id,round,pos,token_id,phase,batch_size
r14,0,0,0,0,prefill,2
r14,0,0,1,0,prefill,2
r14,1,1,0,248045,prefill,42
r14,1,1,1,8678,prefill,42
r14,1,1,2,198,prefill,42
r14,1,1,3,24342,prefill,42
r14,1,1,4,286,prefill,42
r14,1,1,5,4879,prefill,42
r14,1,1,6,369,prefill,42
r14,1,1,7,716,prefill,42
r14,1,1,8,310,prefill,42
r14,1,1,9,830,prefill,42
r14,1,1,10,11553,prefill,42
r14,1,1,11,13,prefill,42
r14,1,1,12,5044,prefill,42
r14,1,1,13,1683,prefill,42
r14,1,1,14,15060,prefill,42
r14,1,1,15,1472,prefill,42
r14,1,1,16,279,prefill,42
r14,1,1,17,3274,prefill,42
r14,1,1,18,11,prefill,42
r14,1,1,19,9307,prefill,42
r14,1,1,20,1328,prefill,42
r14,1,1,21,30800,prefill,42
r14,1,1,22,11,prefill,42
r14,1,1,23,2814,prefill,42
r14,1,1,24,47675,prefill,42
r14,1,1,25,25605,prefill,42
r14,1,1,26,11,prefill,42
r14,1,1,27,321,prefill,42
r14,1,1,28,60445,prefill,42
r14,1,1,29,55404,prefill,42
r14,1,1,30,11,prefill,42
r14,1,1,31,27224,prefill,42
r14,1,1,32,11,prefill,42
r14,1,1,33,321,prefill,42
r14,1,1,34,30246,prefill,42
r14,1,1,35,303,prefill,42
r14,1,1,36,279,prefill,42
r14,1,1,37,1534,prefill,42
r14,1,1,38,4087,prefill,42
r14,1,1,39,13,prefill,42
r14,1,1,40,248046,prefill,42
r14,1,1,41,198,prefill,42
r14,2,2,0,248045,prefill,40
r14,2,2,1,846,prefill,40
r14,2,2,2,198,prefill,40
r14,2,2,3,72240,prefill,40
r14,2,2,4,279,prefill,40
r14,2,2,5,23038,prefill,40
r14,2,2,6,314,prefill,40
r14,2,2,7,12254,prefill,40
r14,2,2,8,1580,prefill,40
r14,2,2,9,6277,prefill,40
r14,2,2,10,7415,prefill,40
r14,2,2,11,299,prefill,40
r14,2,2,12,24,prefill,40
r14,2,2,13,14432,prefill,40
r14,2,2,14,15205,prefill,40
r14,2,2,15,11,prefill,40
r14,2,2,16,2583,prefill,40
r14,2,2,17,8214,prefill,40
r14,2,2,18,38782,prefill,40
r14,2,2,19,2790,prefill,40
r14,2,2,20,11,prefill,40
r14,2,2,21,974,prefill,40
r14,2,2,22,17938,prefill,40
r14,2,2,23,6043,prefill,40
r14,2,2,24,11,prefill,40
r14,2,2,25,321,prefill,40
r14,2,2,26,1428,prefill,40
r14,2,2,27,14075,prefill,40
r14,2,2,28,8098,prefill,40
r14,2,2,29,13,prefill,40
r14,2,2,30,2732,prefill,40
r14,2,2,31,22825,prefill,40
r14,2,2,32,883,prefill,40
r14,2,2,33,279,prefill,40
r14,2,2,34,29122,prefill,40
r14,2,2,35,32253,prefill,40
r14,2,2,36,13,prefill,40
r14,2,2,37,248046,prefill,40
r14,2,2,38,198,prefill,40
r14,2,2,39,248045,prefill,40
r14,3,3,0,74455,prefill,4
r14,3,3,1,198,prefill,4
r14,3,3,2,248068,prefill,4
r14,3,3,3,198,prefill,4
r14,4,4,0,1596,decode,1
r14,5,5,0,1144,decode,1
r14,6,6,0,4087,decode,1
r14,7,7,0,1156,decode,1
r14,8,8,0,25,decode,1
r14,9,9,0,328,decode,1
r14,10,10,0,72240,decode,1
r14,11,11,0,279,decode,1
r14,12,12,0,23038,decode,1
r14,13,13,0,314,decode,1
r14,14,14,0,12254,decode,1
r14,15,15,0,1580,decode,1
r14,16,16,0,6277,decode,1
r14,17,17,0,7415,decode,1
r14,18,18,0,299,decode,1
