request_id,graph_id,round,pos,token_id,phase,batch_size
r06,0,0,0,0,prefill,2
r06,0,0,1,0,prefill,2
r06,1,1,0,248045,prefill,42
r06,1,1,1,8678,prefill,42
r06,1,1,2,198,prefill,42
r06,1,1,3,24342,prefill,42
r06,1,1,4,286,prefill,42
r06,1,1,5,4879,prefill,42
r06,1,1,6,369,prefill,42
r06,1,1,7,716,prefill,42
r06,1,1,8,310,prefill,42
r06,1,1,9,830,prefill,42
r06,1,1,10,11553,prefill,42
r06,1,1,11,13,prefill,42
r06,1,1,12,5044,prefill,42
r06,1,1,13,1683,prefill,42
r06,1,1,14,15060,prefill,42
r06,1,1,15,1472,prefill,42
r06,1,1,16,279,prefill,42
r06,1,1,17,3274,prefill,42
r06,1,1,18,11,prefill,42
r06,1,1,19,9307,prefill,42
r06,1,1,20,1328,prefill,42
r06,1,1,21,30800,prefill,42
r06,1,1,22,11,prefill,42
r06,1,1,23,2814,prefill,42
r06,1,1,24,47675,prefill,42
r06,1,1,25,25605,prefill,42
r06,1,1,26,11,prefill,42
r06,1,1,27,321,prefill,42
r06,1,1,28,60445,prefill,42
r06,1,1,29,55404,prefill,42
r06,1,1,30,11,prefill,42
r06,1,1,31,27224,prefill,42
r06,1,1,32,11,prefill,42
r06,1,1,33,321,prefill,42
r06,1,1,34,30246,prefill,42
r06,1,1,35,303,prefill,42
r06,1,1,36,279,prefill,42
r06,1,1,37,1534,prefill,42
r06,1,1,38,4087,prefill,42
r06,1,1,39,13,prefill,42
r06,1,1,40,248046,prefill,42
r06,1,1,41,198,prefill,42
r06,2,2,0,248045,prefill,36
r06,2,2,1,846,prefill,36
r06,2,2,2,198,prefill,36
r06,2,2,3,7734,prefill,36
r06,2,2,4,264,prefill,36
r06,2,2,5,351,prefill,36
r06,2,2,6,992,prefill,36
r06,2,2,7,16,prefill,36
r06,2,2,8,22,prefill,36
r06,2,2,9,1957,prefill,36
r06,2,2,10,421,prefill,36
r06,2,2,11,68434,prefill,36
r06,2,2,12,264,prefill,36
r06,2,2,13,42349,prefill,36
r06,2,2,14,4566,prefill,36
r06,2,2,15,25162,prefill,36
r06,2,2,16,318,prefill,36
r06,2,2,17,18630,prefill,36
r06,2,2,18,11,prefill,36
r06,2,2,19,17839,prefill,36
r06,2,2,20,11,prefill,36
r06,2,2,21,8796,prefill,36
r06,2,2,22,11,prefill,36
r06,2,2,23,4947,prefill,36
r06,2,2,24,8,prefill,36
r06,2,2,25,1608,prefill,36
r06,2,2,26,29812,prefill,36
r06,2,2,27,35727,prefill,36
r06,2,2,28,11,prefill,36
r06,2,2,29,440,prefill,36
r06,2,2,30,1412,prefill,36
r06,2,2,31,12459,prefill,36
r06,2,2,32,13,prefill,36
r06,2,2,33,248046,prefill,36
r06,2,2,34,198,prefill,36
r06,2,2,35,248045,prefill,36
r06,3,3,0,74455,prefill,4
r06,3,3,1,198,prefill,4
r06,3,3,2,248068,prefill,4
r06,3,3,3,198,prefill,4
r06,4,4,0,1596,decode,1
r06,5,5,0,1144,decode,1
r06,6,6,0,4087,decode,1
r06,7,7,0,1156,decode,1
r06,8,8,0,25,decode,1
r06,9,9,0,328,decode,1
r06,10,10,0,7734,decode,1
r06,11,11,0,264,decode,1
r06,12,12,0,351,decode,1
r06,13,13,0,992,decode,1
r06,14,14,0,16,decode,1
r06,15,15,0,22,decode,1
r06,16,16,0,1957,decode,1
r06,17,17,0,421,decode,1
r06,18,18,0,68434,decode,1
