rows,resident_pages,capacity_pages,hits,misses,hit_rate,total_hits,total_misses,total_prefetch_pages
32,32,65552,0,32,0.000000,0,32,0
672,695,65552,9,663,0.013393,9,695,0
6032,8150,65552,6032,0,1.000000,6041,695,7455
8192,13408,65552,8192,0,1.000000,14233,695,12713
64,13469,65552,64,0,1.000000,14297,695,12774
16,13484,65552,1,15,0.062500,14298,710,12774
16,13500,65552,0,16,0.000000,14298,726,12774
16,13516,65552,0,16,0.000000,14298,742,12774
16,13532,65552,0,16,0.000000,14298,758,12774
16,13547,65552,1,15,0.062500,14299,773,12774
16,13561,65552,2,14,0.125000,14301,787,12774
16,13577,65552,0,16,0.000000,14301,803,12774
16,13593,65552,0,16,0.000000,14301,819,12774
16,13608,65552,1,15,0.062500,14302,834,12774
16,13624,65552,0,16,0.000000,14302,850,12774
16,13631,65552,9,7,0.562500,14311,857,12774
16,13647,65552,0,16,0.000000,14311,873,12774
16,13663,65552,0,16,0.000000,14311,889,12774
16,13679,65552,0,16,0.000000,14311,905,12774
16,13695,65552,0,16,0.000000,14311,921,12774
16,13711,65552,0,16,0.000000,14311,937,12774
16,13719,65552,8,8,0.500000,14319,945,12774
16,13719,65552,16,0,1.000000,14335,945,12774
16,13719,65552,16,0,1.000000,14351,945,12774
16,13719,65552,16,0,1.000000,14367,945,12774
16,13719,65552,16,0,1.000000,14383,945,12774
16,13719,65552,16,0,1.000000,14399,945,12774
16,13719,65552,16,0,1.000000,14415,945,12774
16,13719,65552,16,0,1.000000,14431,945,12774
16,13719,65552,16,0,1.000000,14447,945,12774
16,13719,65552,16,0,1.000000,14463,945,12774
16,13719,65552,16,0,1.000000,14479,945,12774
16,13719,65552,16,0,1.000000,14495,945,12774
16,13719,65552,16,0,1.000000,14511,945,12774
16,13719,65552,16,0,1.000000,14527,945,12774
16,13719,65552,16,0,1.000000,14543,945,12774
16,13719,65552,16,0,1.000000,14559,945,12774
16,13719,65552,16,0,1.000000,14575,945,12774
16,13719,65552,16,0,1.000000,14591,945,12774
16,13719,65552,16,0,1.000000,14607,945,12774
16,13719,65552,16,0,1.000000,14623,945,12774
16,13719,65552,16,0,1.000000,14639,945,12774
16,13719,65552,16,0,1.000000,14655,945,12774
16,13719,65552,16,0,1.000000,14671,945,12774
16,13719,65552,16,0,1.000000,14687,945,12774
16,13719,65552,16,0,1.000000,14703,945,12774
16,13719,65552,16,0,1.000000,14719,945,12774
16,13719,65552,16,0,1.000000,14735,945,12774
16,13719,65552,16,0,1.000000,14751,945,12774
16,13734,65552,1,15,0.062500,14752,960,12774
16,13749,65552,1,15,0.062500,14753,975,12774
16,13757,65552,8,8,0.500000,14761,983,12774
16,13772,65552,1,15,0.062500,14762,998,12774
16,13780,65552,8,8,0.500000,14770,1006,12774
16,13780,65552,16,0,1.000000,14786,1006,12774
16,13780,65552,16,0,1.000000,14802,1006,12774
16,13780,65552,16,0,1.000000,14818,1006,12774
16,13780,65552,16,0,1.000000,14834,1006,12774
16,13780,65552,16,0,1.000000,14850,1006,12774
16,13780,65552,16,0,1.000000,14866,1006,12774
16,13780,65552,16,0,1.000000,14882,1006,12774
16,13796,65552,0,16,0.000000,14882,1022,12774
16,13812,65552,0,16,0.000000,14882,1038,12774
16,13820,65552,8,8,0.500000,14890,1046,12774
16,13828,65552,8,8,0.500000,14898,1054,12774
16,13844,65552,0,16,0.000000,14898,1070,12774
16,13859,65552,1,15,0.062500,14899,1085,12774
16,13875,65552,0,16,0.000000,14899,1101,12774
