graph_id,layer,hits,misses,pred_hits,pred_total,cpu_experts
1,47,0,0,0,0,10
1,-1,3714601,58,31,0,0,4228,112136,557658
2,-1,3180997,0,0,0,0,0,175799,3004968
3,-1,924975,0,0,0,0,0,58676,866114
4,47,27,3,0,0,1
4,-1,318559,36,19,231,0,716,55663,261990
5,0,24,6,0,0,2
5,1,30,0,0,10,0
5,2,30,0,0,10,0
5,3,30,0,0,10,0
5,4,30,0,0,10,0
5,5,30,0,0,10,0
5,6,30,0,0,10,0
5,7,30,0,0,10,0
5,8,30,0,0,10,0
5,9,30,0,0,10,0
5,10,30,0,0,10,0
5,11,30,0,0,10,0
5,12,30,0,0,10,0
5,13,30,0,0,10,0
5,14,27,3,0,10,1
5,15,30,0,0,10,0
5,16,30,0,0,10,0
5,17,30,0,0,10,0
5,18,27,3,0,10,1
5,19,30,0,0,10,0
5,20,27,3,0,10,1
5,21,27,3,0,10,1
5,22,30,0,0,10,0
5,23,30,0,0,10,0
5,24,30,0,0,10,0
5,25,27,3,0,10,1
5,26,30,0,0,10,0
5,27,30,0,0,10,0
5,28,24,6,0,10,2
5,29,27,3,0,10,1
5,30,30,0,0,10,0
5,31,30,0,0,10,0
5,32,30,0,0,10,0
5,33,27,3,0,10,1
5,34,27,3,0,10,1
5,35,24,6,0,10,2
5,36,27,3,0,10,1
5,37,15,15,0,10,5
5,38,15,15,0,10,5
5,39,30,0,0,10,0
5,40,24,6,0,10,2
5,41,30,0,0,10,0
5,42,27,3,0,10,1
5,43,24,6,0,10,2
5,44,21,9,0,10,3
5,45,24,6,0,10,2
5,46,24,6,0,10,2
5,47,30,0,0,10,0
5,-1,101641,2226,1153,14188,0,9203,61160,30972
6,0,27,3,0,0,1
6,1,30,0,0,10,0
6,2,30,0,0,10,0
6,3,30,0,0,10,0
6,4,24,6,0,10,2
6,5,30,0,0,10,0
6,6,30,0,0,10,0
6,7,30,0,0,10,0
6,8,30,0,0,10,0
6,9,30,0,0,10,0
6,10,30,0,0,10,0
6,11,30,0,0,10,0
6,12,30,0,0,10,0
6,13,30,0,0,10,0
6,14,30,0,0,10,0
6,15,27,3,0,10,1
6,16,30,0,0,10,0
6,17,30,0,0,10,0
6,18,24,6,0,10,2
6,19,30,0,0,10,0
6,20,27,3,0,10,1
6,21,27,3,0,10,1
6,22,30,0,0,10,0
6,23,30,0,0,10,0
6,24,27,3,0,10,1
6,25,30,0,0,10,0
6,26,30,0,0,10,0
6,27,27,3,0,10,1
6,28,30,0,0,10,0
6,29,27,3,0,10,1
6,30,30,0,0,10,0
6,31,30,0,0,10,0
6,32,30,0,0,10,0
6,33,30,0,0,10,0
6,34,27,3,0,10,1
6,35,30,0,0,10,0
6,36,27,3,0,10,1
6,37,27,3,0,10,1
6,38,30,0,0,10,0
6,39,27,3,0,10,1
6,40,27,3,0,10,1
6,41,30,0,0,10,0
6,42,30,0,0,10,0
6,43,30,0,0,10,0
6,44,30,0,0,10,0
6,45,27,3,0,10,1
6,46,21,9,0,10,3
6,47,24,6,0,10,2
6,-1,109670,2655,1102,17257,0,8723,44318,56336
7,0,18,12,0,0,4
7,1,30,0,0,10,0
7,2,30,0,0,10,0
7,3,30,0,0,10,0
7,4,30,0,0,10,0
7,5,27,3,0,10,1
7,6,24,6,0,10,2
7,7,27,3,0,10,1
7,8,30,0,0,10,0
7,9,27,3,0,10,1
7,10,30,0,0,10,0
7,11,30,0,0,10,0
7,12,30,0,0,10,0
7,13,30,0,0,10,0
7,14,30,0,0,10,0
7,15,24,6,0,10,2
7,16,30,0,0,10,0
7,17,30,0,0,10,0
7,18,30,0,0,10,0
7,19,30,0,0,10,0
7,20,27,3,0,10,1
7,21,27,3,0,10,1
7,22,21,9,0,10,3
7,23,24,6,0,10,2
7,24,30,0,0,10,0
7,25,21,9,0,10,3
7,26,30,0,0,10,0
7,27,27,3,0,10,1
7,28,27,3,0,10,1
7,29,24,6,0,10,2
7,30,30,0,0,10,0
7,31,30,0,0,10,0
7,32,30,0,0,10,0
7,33,30,0,0,10,0
7,34,30,0,0,10,0
7,35,30,0,0,10,0
7,36,27,3,0,10,1
7,37,30,0,0,10,0
7,38,27,3,0,10,1
7,39,27,3,0,10,1
7,40,27,3,0,10,1
7,41,24,6,0,10,2
7,42,30,0,0,10,0
7,43,27,3,0,10,1
7,44,27,3,0,10,1
7,45,30,0,0,10,0
7,46,18,12,0,10,4
7,47,27,3,0,10,1
7,-1,55426,1628,1069,11471,0,10100,4759,40285
8,0,21,9,0,0,3
8,1,30,0,0,10,0
8,2,30,0,0,10,0
8,3,30,0,0,10,0
8,4,30,0,0,10,0
8,5,30,0,0,10,0
8,6,30,0,0,10,0
8,7,27,3,0,10,1
8,8,30,0,0,10,0
8,9,30,0,0,10,0
8,10,30,0,0,10,0
8,11,27,3,0,10,1
8,12,30,0,0,10,0
8,13,30,0,0,10,0
8,14,30,0,0,10,0
8,15,30,0,0,10,0
8,16,30,0,0,10,0
8,17,30,0,0,10,0
8,18,30,0,0,10,0
8,19,30,0,0,10,0
8,20,27,3,0,10,1
8,21,27,3,0,10,1
8,22,27,3,0,10,1
8,23,30,0,0,10,0
8,24,27,3,0,10,1
8,25,27,3,0,10,1
8,26,30,0,0,10,0
8,27,30,0,0,10,0
8,28,30,0,0,10,0
8,29,27,3,0,10,1
8,30,27,3,0,10,1
8,31,27,3,0,10,1
8,32,27,3,0,10,1
8,33,30,0,0,10,0
8,34,30,0,0,10,0
8,35,24,6,0,10,2
8,36,30,0,0,10,0
8,37,27,3,0,10,1
8,38,27,3,0,10,1
8,39,30,0,0,10,0
8,40,30,0,0,10,0
8,41,30,0,0,10,0
8,42,30,0,0,10,0
8,43,27,3,0,10,1
8,44,30,0,0,10,0
8,45,24,6,0,10,2
8,46,27,3,0,10,1
8,47,24,6,0,10,2
8,-1,56235,1427,919,11899,0,9690,4425,41828
9,0,3,27,0,0,9
9,1,21,9,0,10,3
9,2,27,3,0,10,1
9,3,30,0,0,10,0
9,4,27,3,0,10,1
9,5,27,3,0,10,1
9,6,24,6,0,10,2
9,7,24,6,0,10,2
9,8,30,0,0,10,0
9,9,27,3,0,10,1
9,10,21,9,0,10,3
9,11,30,0,0,10,0
9,12,21,9,0,10,3
9,13,27,3,0,10,1
9,14,30,0,0,10,0
9,15,27,3,0,10,1
9,16,30,0,0,10,0
9,17,30,0,0,10,0
9,18,27,3,0,10,1
9,19,27,3,0,10,1
9,20,27,3,0,10,1
9,21,21,9,0,10,3
9,22,15,15,0,10,5
9,23,27,3,0,10,1
9,24,27,3,0,10,1
9,25,27,3,0,10,1
9,26,30,0,0,10,0
9,27,30,0,0,10,0
9,28,18,12,0,10,4
9,29,30,0,0,10,0
9,30,21,9,0,10,3
9,31,21,9,0,10,3
9,32,24,6,0,10,2
9,33,27,3,0,10,1
9,34,24,6,0,10,2
9,35,27,3,0,10,1
9,36,24,6,0,10,2
9,37,24,6,0,10,2
9,38,18,12,0,10,4
9,39,27,3,0,10,1
9,40,21,9,0,10,3
9,41,24,6,0,10,2
9,42,24,6,0,10,2
9,43,21,9,0,10,3
9,44,12,18,0,10,6
9,45,21,9,0,10,3
9,46,24,6,0,10,2
9,47,21,9,0,10,3
9,-1,62296,1588,1090,10418,0,17629,4705,39632
10,0,18,12,0,0,4
10,1,27,3,0,10,1
10,2,24,6,0,10,2
10,3,24,6,0,10,2
10,4,24,6,0,10,2
10,5,18,12,0,10,4
10,6,15,15,0,10,5
10,7,21,9,0,10,3
10,8,24,6,0,10,2
10,9,21,9,0,10,3
10,10,27,3,0,10,1
10,11,21,9,0,10,3
10,12,21,9,0,10,3
10,13,24,6,0,10,2
10,14,18,12,0,10,4
10,15,3,27,0,10,9
10,16,6,24,0,10,8
10,17,12,18,0,10,6
10,18,24,6,0,10,2
10,19,24,6,0,10,2
10,20,18,12,0,10,4
10,21,18,12,0,10,4
10,22,27,3,0,10,1
10,23,9,21,0,10,7
10,24,24,6,0,10,2
10,25,21,9,0,10,3
10,26,30,0,0,10,0
10,27,30,0,0,10,0
10,28,27,3,0,10,1
10,29,27,3,0,10,1
10,30,27,3,0,10,1
10,31,12,18,0,10,6
10,32,18,12,0,10,4
10,33,24,6,0,10,2
10,34,24,6,0,10,2
10,35,18,12,0,10,4
10,36,18,12,0,10,4
10,37,12,18,0,10,6
10,38,12,18,0,10,6
10,39,18,12,0,10,4
10,40,18,12,0,10,4
10,41,27,3,0,10,1
10,42,30,0,0,10,0
10,43,9,21,0,10,7
10,44,15,15,0,10,5
10,45,12,18,0,10,6
10,46,12,18,0,10,6
10,47,24,6,0,10,2
10,-1,65825,1467,909,8512,0,24092,4636,36775
11,0,15,15,0,0,5
11,1,18,12,0,10,4
11,2,9,21,0,10,7
11,3,18,12,0,10,4
11,4,6,24,0,10,8
11,5,6,24,0,10,8
11,6,6,24,0,10,8
11,7,9,21,0,10,7
11,8,24,6,0,10,2
11,9,12,18,0,10,6
11,10,24,6,0,10,2
11,11,12,18,0,10,6
11,12,15,15,0,10,5
11,13,24,6,0,10,2
11,14,18,12,0,10,4
11,15,6,24,0,10,8
11,16,6,24,0,10,8
11,17,12,18,0,10,6
11,18,21,9,0,10,3
11,19,18,12,0,10,4
11,20,9,21,0,10,7
11,21,3,27,0,10,9
11,22,6,24,0,10,8
11,23,0,30,0,10,10
11,24,21,9,0,10,3
11,25,18,12,0,10,4
11,26,24,6,0,10,2
11,27,27,3,0,10,1
11,28,21,9,0,10,3
11,29,24,6,0,10,2
11,30,18,12,0,10,4
11,31,6,24,0,10,8
11,32,9,21,0,10,7
11,33,24,6,0,10,2
11,34,21,9,0,10,3
11,35,21,9,0,10,3
11,36,12,18,0,10,6
11,37,12,18,0,10,6
11,38,9,21,0,10,7
11,39,24,6,0,10,2
11,40,12,18,0,10,6
11,41,9,21,0,10,7
11,42,18,12,0,10,4
11,43,15,15,0,10,5
11,44,6,24,0,10,8
11,45,6,24,0,10,8
11,46,6,24,0,10,8
11,47,15,15,0,10,5
11,-1,84383,2695,1222,9508,0,34454,6372,43266
12,0,9,21,0,0,7
12,1,9,21,0,10,7
12,2,18,12,0,10,4
12,3,15,15,0,10,5
12,4,21,9,0,10,3
12,5,9,21,0,10,7
12,6,3,27,0,10,9
12,7,6,24,0,10,8
12,8,27,3,0,10,1
12,9,18,12,0,10,4
12,10,24,6,0,10,2
12,11,27,3,0,10,1
12,12,18,12,0,10,4
12,13,30,0,0,10,0
12,14,18,12,0,10,4
12,15,27,3,0,10,1
12,16,18,12,0,10,4
12,17,24,6,0,10,2
12,18,15,15,0,10,5
12,19,24,6,0,10,2
12,20,12,18,0,10,6
12,21,9,21,0,10,7
12,22,3,27,0,10,9
12,23,9,21,0,10,7
12,24,21,9,0,10,3
12,25,18,12,0,10,4
12,26,27,3,0,10,1
12,27,24,6,0,10,2
12,28,18,12,0,10,4
12,29,30,0,0,10,0
12,30,21,9,0,10,3
12,31,18,12,0,10,4
12,32,21,9,0,10,3
12,33,27,3,0,10,1
12,34,18,12,0,10,4
12,35,9,21,0,10,7
12,36,12,18,0,10,6
12,37,12,18,0,10,6
12,38,3,27,0,10,9
12,39,18,12,0,10,4
12,40,15,15,0,10,5
12,41,15,15,0,10,5
12,42,18,12,0,10,4
12,43,9,21,0,10,7
12,44,12,18,0,10,6
12,45,6,24,0,10,8
12,46,15,15,0,10,5
12,47,15,15,0,10,5
12,-1,74879,1888,928,7235,0,33273,4793,36531
13,0,3,27,0,0,9
13,1,3,27,0,10,9
13,2,9,21,0,10,7
13,3,12,18,0,10,6
13,4,6,24,0,10,8
13,5,9,21,0,10,7
13,6,3,27,0,10,9
13,7,12,18,0,10,6
13,8,15,15,0,10,5
13,9,9,21,0,10,7
13,10,24,6,0,10,2
13,11,18,12,0,10,4
13,12,24,6,0,10,2
13,13,24,6,0,10,2
13,14,15,15,0,10,5
13,15,6,24,0,10,8
13,16,6,24,0,10,8
13,17,18,12,0,10,4
13,18,15,15,0,10,5
13,19,24,6,0,10,2
13,20,6,24,0,10,8
13,21,9,21,0,10,7
13,22,3,27,0,10,9
13,23,3,27,0,10,9
13,24,18,12,0,10,4
13,25,9,21,0,10,7
13,26,24,6,0,10,2
13,27,18,12,0,10,4
13,28,18,12,0,10,4
13,29,27,3,0,10,1
13,30,21,9,0,10,3
13,31,15,15,0,10,5
13,32,24,6,0,10,2
13,33,27,3,0,10,1
13,34,9,21,0,10,7
13,35,24,6,0,10,2
13,36,27,3,0,10,1
13,37,15,15,0,10,5
13,38,6,24,0,10,8
13,39,27,3,0,10,1
13,40,24,6,0,10,2
13,41,18,12,0,10,4
13,42,6,24,0,10,8
13,43,21,9,0,10,3
13,44,18,12,0,10,4
13,45,21,9,0,10,3
13,46,15,15,0,10,5
13,47,6,24,0,10,8
13,-1,77115,1980,1117,6933,0,34129,4997,37695
14,0,15,15,0,0,5
14,1,18,12,0,10,4
14,2,18,12,0,10,4
14,3,30,0,0,10,0
14,4,30,0,0,10,0
14,5,24,6,0,10,2
14,6,27,3,0,10,1
14,7,18,12,0,10,4
14,8,24,6,0,10,2
14,9,24,6,0,10,2
14,10,24,6,0,10,2
14,11,30,0,0,10,0
14,12,27,3,0,10,1
14,13,27,3,0,10,1
14,14,30,0,0,10,0
14,15,30,0,0,10,0
14,16,30,0,0,10,0
14,17,24,6,0,10,2
14,18,12,18,0,10,6
14,19,18,12,0,10,4
14,20,21,9,0,10,3
14,21,9,21,0,10,7
14,22,15,15,0,10,5
14,23,30,0,0,10,0
14,24,18,12,0,10,4
14,25,21,9,0,10,3
14,26,24,6,0,10,2
14,27,24,6,0,10,2
14,28,21,9,0,10,3
14,29,24,6,0,10,2
14,30,24,6,0,10,2
14,31,27,3,0,10,1
14,32,30,0,0,10,0
14,33,18,12,0,10,4
14,34,15,15,0,10,5
14,35,15,15,0,10,5
14,36,12,18,0,10,6
14,37,6,24,0,10,8
14,38,18,12,0,10,4
14,39,30,0,0,10,0
14,40,27,3,0,10,1
14,41,27,3,0,10,1
14,42,15,15,0,10,5
14,43,24,6,0,10,2
14,44,21,9,0,10,3
14,45,27,3,0,10,1
14,46,21,9,0,10,3
14,47,15,15,0,10,5
14,-1,70102,1560,963,9013,0,27361,4696,37766
15,0,18,12,0,0,4
15,1,21,9,0,10,3
15,2,21,9,0,10,3
15,3,12,18,0,10,6
15,4,15,15,0,10,5
15,5,12,18,0,10,6
15,6,21,9,0,10,3
15,7,15,15,0,10,5
15,8,18,12,0,10,4
15,9,21,9,0,10,3
15,10,21,9,0,10,3
15,11,27,3,0,10,1
15,12,18,12,0,10,4
15,13,24,6,0,10,2
15,14,24,6,0,10,2
15,15,27,3,0,10,1
15,16,30,0,0,10,0
15,17,27,3,0,10,1
15,18,15,15,0,10,5
15,19,24,6,0,10,2
15,20,9,21,0,10,7
15,21,9,21,0,10,7
15,22,18,12,0,10,4
15,23,24,6,0,10,2
15,24,21,9,0,10,3
15,25,30,0,0,10,0
15,26,27,3,0,10,1
15,27,27,3,0,10,1
15,28,18,12,0,10,4
15,29,27,3,0,10,1
15,30,30,0,0,10,0
15,31,30,0,0,10,0
15,32,27,3,0,10,1
15,33,30,0,0,10,0
15,34,15,15,0,10,5
15,35,12,18,0,10,6
15,36,12,18,0,10,6
15,37,15,15,0,10,5
15,38,15,15,0,10,5
15,39,24,6,0,10,2
15,40,24,6,0,10,2
15,41,15,15,0,10,5
15,42,24,6,0,10,2
15,43,24,6,0,10,2
15,44,18,12,0,10,4
15,45,24,6,0,10,2
15,46,21,9,0,10,3
15,47,27,3,0,10,1
15,-1,74093,1483,976,8006,0,33574,4327,35926
16,0,12,18,0,0,6
16,1,21,9,0,10,3
16,2,18,12,0,10,4
16,3,18,12,0,10,4
16,4,12,18,0,10,6
16,5,18,12,0,10,4
16,6,18,12,0,10,4
16,7,21,9,0,10,3
16,8,15,15,0,10,5
16,9,21,9,0,10,3
16,10,15,15,0,10,5
16,11,21,9,0,10,3
16,12,18,12,0,10,4
16,13,3,27,0,10,9
16,14,6,24,0,10,8
16,15,30,0,0,10,0
16,16,30,0,0,10,0
16,17,12,18,0,10,6
16,18,18,12,0,10,4
16,19,18,12,0,10,4
16,20,15,15,0,10,5
16,21,18,12,0,10,4
16,22,12,18,0,10,6
16,23,27,3,0,10,1
16,24,18,12,0,10,4
16,25,24,6,0,10,2
16,26,15,15,0,10,5
16,27,21,9,0,10,3
16,28,12,18,0,10,6
16,29,15,15,0,10,5
16,30,18,12,0,10,4
16,31,30,0,0,10,0
16,32,18,12,0,10,4
16,33,15,15,0,10,5
16,34,12,18,0,10,6
16,35,9,21,0,10,7
16,36,24,6,0,10,2
16,37,15,15,0,10,5
16,38,15,15,0,10,5
16,39,27,3,0,10,1
16,40,30,0,0,10,0
16,41,18,12,0,10,4
16,42,27,3,0,10,1
16,43,27,3,0,10,1
16,44,27,3,0,10,1
16,45,27,3,0,10,1
16,46,24,6,0,10,2
16,47,30,0,0,10,0
16,-1,72963,1602,1073,8321,0,29878,4950,37830
17,0,21,9,0,0,3
17,1,27,3,0,10,1
17,2,15,15,0,10,5
17,3,24,6,0,10,2
17,4,18,12,0,10,4
17,5,18,12,0,10,4
17,6,18,12,0,10,4
17,7,21,9,0,10,3
17,8,18,12,0,10,4
17,9,18,12,0,10,4
17,10,15,15,0,10,5
17,11,24,6,0,10,2
17,12,21,9,0,10,3
17,13,18,12,0,10,4
17,14,27,3,0,10,1
17,15,15,15,0,10,5
17,16,18,12,0,10,4
17,17,12,18,0,10,6
17,18,18,12,0,10,4
17,19,21,9,0,10,3
17,20,15,15,0,10,5
