graph_id,layer,hits,misses,pred_hits,pred_total,cpu_experts
1,47,0,0,0,0,10
1,-1,4527330,72,48,0,0,3764,145685,750181
2,-1,3256315,0,0,0,0,0,233157,3022944
3,-1,946853,0,0,0,0,0,77540,869143
4,47,27,3,0,10,1
4,-1,451627,32,21,0,0,577,71733,379118
5,0,24,6,0,0,2
5,1,30,0,0,0,0
5,2,30,0,0,0,0
5,3,30,0,0,0,0
5,4,30,0,0,0,0
5,5,30,0,0,0,0
5,6,30,0,0,0,0
5,7,30,0,0,0,0
5,8,30,0,0,0,0
5,9,30,0,0,0,0
5,10,30,0,0,0,0
5,11,30,0,0,0,0
5,12,30,0,0,0,0
5,13,30,0,0,0,0
5,14,27,3,0,0,1
5,15,30,0,0,0,0
5,16,30,0,0,0,0
5,17,30,0,0,0,0
5,18,27,3,0,0,1
5,19,30,0,0,0,0
5,20,27,3,0,0,1
5,21,27,3,0,0,1
5,22,30,0,0,0,0
5,23,30,0,0,0,0
5,24,30,0,0,0,0
5,25,27,3,0,0,1
5,26,30,0,0,0,0
5,27,30,0,0,0,0
5,28,24,6,0,0,2
5,29,27,3,0,0,1
5,30,30,0,0,0,0
5,31,30,0,0,0,0
5,32,30,0,0,0,0
5,33,27,3,0,0,1
5,34,27,3,0,0,1
5,35,24,6,0,0,2
5,36,27,3,0,0,1
5,37,15,15,0,0,5
5,38,15,15,0,0,5
5,39,30,0,0,0,0
5,40,27,3,0,0,1
5,41,30,0,0,0,0
5,42,27,3,0,0,1
5,43,24,6,0,0,2
5,44,21,9,0,0,3
5,45,24,6,0,0,2
5,46,24,6,0,0,2
5,47,30,0,3,10,0
5,-1,79968,1503,973,0,0,7073,49465,22701
6,0,27,3,9,10,1
6,1,30,0,10,10,0
6,2,30,0,10,10,0
6,3,30,0,10,10,0
6,4,24,6,7,10,2
6,5,30,0,10,10,0
6,6,30,0,10,10,0
6,7,30,0,10,10,0
6,8,30,0,10,10,0
6,9,30,0,10,10,0
6,10,30,0,10,10,0
6,11,30,0,9,10,0
6,12,30,0,9,10,0
6,13,30,0,10,10,0
6,14,30,0,10,10,0
6,15,27,3,9,10,1
6,16,30,0,10,10,0
6,17,30,0,9,10,0
6,18,24,6,9,10,2
6,19,30,0,9,10,0
6,20,30,0,9,10,0
6,21,27,3,10,10,1
6,22,30,0,10,10,0
6,23,30,0,9,10,0
6,24,24,6,8,10,2
6,25,30,0,10,10,0
6,26,30,0,9,10,0
6,27,27,3,8,10,1
6,28,30,0,8,10,0
6,29,27,3,8,10,1
6,30,30,0,9,10,0
6,31,30,0,10,10,0
6,32,30,0,10,10,0
6,33,30,0,9,10,0
6,34,27,3,9,10,1
6,35,30,0,9,10,0
6,36,27,3,8,10,1
6,37,30,0,9,10,0
6,38,30,0,10,10,0
6,39,24,6,9,10,2
6,40,27,3,7,10,1
6,41,30,0,6,10,0
6,42,27,3,9,10,1
6,43,30,0,10,10,0
6,44,30,0,10,10,0
6,45,27,3,9,10,1
6,46,21,9,7,10,3
6,47,24,6,8,10,2
6,-1,94464,1508,1106,0,0,6457,38002,49707
7,0,18,12,10,10,4
7,1,30,0,10,10,0
7,2,30,0,10,10,0
7,3,30,0,10,10,0
7,4,30,0,9,10,0
7,5,27,3,10,10,1
7,6,24,6,10,10,2
7,7,27,3,10,10,1
7,8,30,0,9,10,0
7,9,27,3,9,10,1
7,10,30,0,10,10,0
7,11,30,0,8,10,0
7,12,30,0,10,10,0
7,13,30,0,10,10,0
7,14,30,0,10,10,0
7,15,24,6,5,10,2
7,16,30,0,10,10,0
7,17,30,0,7,10,0
7,18,30,0,10,10,0
7,19,30,0,9,10,0
7,20,27,3,9,10,1
7,21,27,3,10,10,1
7,22,18,12,9,10,4
7,23,21,9,6,10,3
7,24,30,0,8,10,0
7,25,24,6,7,10,2
7,26,30,0,7,10,0
7,27,27,3,8,10,1
7,28,27,3,4,10,1
7,29,24,6,5,10,2
7,30,30,0,5,10,0
7,31,30,0,6,10,0
7,32,30,0,4,10,0
7,33,30,0,6,10,0
7,34,30,0,5,10,0
7,35,30,0,2,10,0
7,36,24,6,3,10,2
7,37,27,3,4,10,1
7,38,27,3,7,10,1
7,39,27,3,7,10,1
7,40,27,3,6,10,1
7,41,24,6,8,10,2
7,42,30,0,10,10,0
7,43,27,3,8,10,1
7,44,30,0,10,10,0
7,45,30,0,10,10,0
7,46,18,12,6,10,4
7,47,27,3,9,10,1
7,-1,51629,1445,1186,0,0,7477,3844,40010
8,0,21,9,9,10,3
8,1,30,0,10,10,0
8,2,30,0,10,10,0
8,3,30,0,10,10,0
8,4,30,0,9,10,0
8,5,30,0,10,10,0
8,6,30,0,10,10,0
8,7,27,3,9,10,1
8,8,30,0,9,10,0
8,9,30,0,10,10,0
8,10,30,0,10,10,0
8,11,27,3,9,10,1
8,12,30,0,10,10,0
8,13,30,0,10,10,0
8,14,30,0,10,10,0
8,15,30,0,10,10,0
8,16,30,0,10,10,0
8,17,30,0,10,10,0
8,18,30,0,10,10,0
8,19,30,0,10,10,0
8,20,27,3,9,10,1
8,21,27,3,8,10,1
8,22,27,3,9,10,1
8,23,30,0,10,10,0
8,24,27,3,9,10,1
8,25,27,3,10,10,1
8,26,30,0,9,10,0
8,27,30,0,10,10,0
8,28,30,0,10,10,0
