rows,resident_pages,capacity_pages,hits,misses,hit_rate,total_hits,total_misses,total_prefetch_pages
32,32,16388,0,32,0.000000,0,32,0
32,64,16388,0,32,0.000000,0,64,0
480,544,16388,0,480,0.000000,0,544,0
168,712,16388,0,168,0.000000,0,712,0
64,776,16388,0,64,0.000000,0,776,0
16,792,16388,0,16,0.000000,0,792,0
16,808,16388,0,16,0.000000,0,808,0
16,824,16388,0,16,0.000000,0,824,0
16,840,16388,0,16,0.000000,0,840,0
16,856,16388,0,16,0.000000,0,856,0
16,872,16388,0,16,0.000000,0,872,0
16,888,16388,0,16,0.000000,0,888,0
16,903,16388,1,15,0.062500,1,903,0
16,919,16388,0,16,0.000000,1,919,0
16,935,16388,0,16,0.000000,1,935,0
16,951,16388,0,16,0.000000,1,951,0
16,967,16388,0,16,0.000000,1,967,0
16,983,16388,0,16,0.000000,1,983,0
16,999,16388,0,16,0.000000,1,999,0
16,1015,16388,0,16,0.000000,1,1015,0
16,1031,16388,0,16,0.000000,1,1031,0
8,1039,16388,0,8,0.000000,1,1039,0
16,1055,16388,0,16,0.000000,1,1055,0
16,1071,16388,0,16,0.000000,1,1071,0
16,1087,16388,0,16,0.000000,1,1087,0
16,1103,16388,0,16,0.000000,1,1103,0
16,1119,16388,0,16,0.000000,1,1119,0
16,1134,16388,1,15,0.062500,2,1134,0
16,1150,16388,0,16,0.000000,2,1150,0
16,1166,16388,0,16,0.000000,2,1166,0
16,1182,16388,0,16,0.000000,2,1182,0
16,1198,16388,0,16,0.000000,2,1198,0
8,1206,16388,0,8,0.000000,2,1206,0
16,1222,16388,0,16,0.000000,2,1222,0
16,1238,16388,0,16,0.000000,2,1238,0
16,1253,16388,1,15,0.062500,3,1253,0
16,1269,16388,0,16,0.000000,3,1269,0
16,1284,16388,1,15,0.062500,4,1284,0
16,1300,16388,0,16,0.000000,4,1300,0
16,1316,16388,0,16,0.000000,4,1316,0
16,1332,16388,0,16,0.000000,4,1332,0
16,1348,16388,0,16,0.000000,4,1348,0
16,1364,16388,0,16,0.000000,4,1364,0
16,1380,16388,0,16,0.000000,4,1380,0
16,1396,16388,0,16,0.000000,4,1396,0
16,1412,16388,0,16,0.000000,4,1412,0
16,1428,16388,0,16,0.000000,4,1428,0
16,1444,16388,0,16,0.000000,4,1444,0
16,1460,16388,0,16,0.000000,4,1460,0
16,1476,16388,0,16,0.000000,4,1476,0
16,1492,16388,0,16,0.000000,4,1492,0
16,1508,16388,0,16,0.000000,4,1508,0
16,1524,16388,0,16,0.000000,4,1524,0
16,1540,16388,0,16,0.000000,4,1540,0
16,1556,16388,0,16,0.000000,4,1556,0
16,1572,16388,0,16,0.000000,4,1572,0
8,1580,16388,0,8,0.000000,4,1580,0
16,1596,16388,0,16,0.000000,4,1596,0
16,1612,16388,0,16,0.000000,4,1612,0
16,1628,16388,0,16,0.000000,4,1628,0
16,1644,16388,0,16,0.000000,4,1644,0
16,1660,16388,0,16,0.000000,4,1660,0
16,1676,16388,0,16,0.000000,4,1676,0
8,1684,16388,0,8,0.000000,4,1684,0
16,1700,16388,0,16,0.000000,4,1700,0
16,1716,16388,0,16,0.000000,4,1716,0
16,1732,16388,0,16,0.000000,4,1732,0
16,1748,16388,0,16,0.000000,4,1748,0
16,1763,16388,1,15,0.062500,5,1763,0
16,1779,16388,0,16,0.000000,5,1779,0
16,1795,16388,0,16,0.000000,5,1795,0
16,1811,16388,0,16,0.000000,5,1811,0
16,1827,16388,0,16,0.000000,5,1827,0
16,1843,16388,0,16,0.000000,5,1843,0
16,1859,16388,0,16,0.000000,5,1859,0
16,1875,16388,0,16,0.000000,5,1875,0
16,1891,16388,0,16,0.000000,5,1891,0
16,1907,16388,0,16,0.000000,5,1907,0
16,1923,16388,0,16,0.000000,5,1923,0
16,1939,16388,0,16,0.000000,5,1939,0
16,1955,16388,0,16,0.000000,5,1955,0
16,1971,16388,0,16,0.000000,5,1971,0
16,1987,16388,0,16,0.000000,5,1987,0
16,2003,16388,0,16,0.000000,5,2003,0
16,2019,16388,0,16,0.000000,5,2019,0
16,2035,16388,0,16,0.000000,5,2035,0
16,2051,16388,0,16,0.000000,5,2051,0
16,2067,16388,0,16,0.000000,5,2067,0
16,2083,16388,0,16,0.000000,5,2083,0
16,2099,16388,0,16,0.000000,5,2099,0
16,2115,16388,0,16,0.000000,5,2115,0
16,2131,16388,0,16,0.000000,5,2131,0
16,2147,16388,0,16,0.000000,5,2147,0
