rows,resident_pages,capacity_pages,hits,misses,hit_rate,total_hits,total_misses
32,32,16388,0,32,0.000000,0,32
32,64,16388,0,32,0.000000,0,64
480,544,16388,0,480,0.000000,0,544
6032,6160,16388,416,5616,0.063260,416,6160
8192,13266,16388,1086,7106,0.101706,1502,13266
64,13327,16388,3,61,0.101470,1505,13327
16,13343,16388,0,16,0.101360,1505,13343
16,13359,16388,0,16,0.101251,1505,13359
16,13372,16388,3,13,0.101344,1508,13372
16,13387,16388,1,15,0.101302,1509,13387
16,13403,16388,0,16,0.101194,1509,13403
16,13418,16388,1,15,0.101152,1510,13418
16,13434,16388,0,16,0.101044,1510,13434
16,13448,16388,2,14,0.101070,1512,13448
16,13456,16388,8,8,0.101496,1520,13456
16,13471,16388,1,15,0.101454,1521,13471
16,13487,16388,0,16,0.101346,1521,13487
16,13503,16388,0,16,0.101238,1521,13503
16,13511,16388,8,8,0.101662,1529,13511
16,13511,16388,16,0,0.102617,1545,13511
16,13511,16388,16,0,0.103570,1561,13511
16,13527,16388,0,16,0.103460,1561,13527
16,13542,16388,1,15,0.103416,1562,13542
16,13558,16388,0,16,0.103307,1562,13558
16,13565,16388,9,7,0.103792,1571,13565
16,13580,16388,1,15,0.103749,1572,13580
16,13588,16388,8,8,0.104167,1580,13588
16,13588,16388,16,0,0.105111,1596,13588
16,13588,16388,16,0,0.106053,1612,13588
16,13588,16388,16,0,0.106993,1628,13588
16,13588,16388,16,0,0.107931,1644,13588
16,13588,16388,16,0,0.108867,1660,13588
16,13588,16388,16,0,0.109801,1676,13588
16,13588,16388,16,0,0.110733,1692,13588
16,13588,16388,16,0,0.111663,1708,13588
16,13588,16388,16,0,0.112591,1724,13588
16,13588,16388,16,0,0.113518,1740,13588
16,13588,16388,16,0,0.114442,1756,13588
16,13588,16388,16,0,0.115365,1772,13588
16,13588,16388,16,0,0.116285,1788,13588
16,13588,16388,16,0,0.117204,1804,13588
16,13588,16388,16,0,0.118120,1820,13588
16,13588,16388,16,0,0.119035,1836,13588
16,13588,16388,16,0,0.119948,1852,13588
16,13588,16388,16,0,0.120859,1868,13588
16,13588,16388,16,0,0.121768,1884,13588
16,13588,16388,16,0,0.122676,1900,13588
16,13603,16388,1,15,0.122614,1901,13603
16,13619,16388,0,16,0.122487,1901,13619
16,13635,16388,0,16,0.122361,1901,13635
16,13643,16388,8,8,0.122749,1909,13643
16,13659,16388,0,16,0.122623,1909,13659
16,13675,16388,0,16,0.122497,1909,13675
16,13691,16388,0,16,0.122372,1909,13691
16,13699,16388,8,8,0.122759,1917,13699
16,13699,16388,16,0,0.123657,1933,13699
16,13699,16388,16,0,0.124553,1949,13699
16,13699,16388,16,0,0.125447,1965,13699
16,13699,16388,16,0,0.126339,1981,13699
16,13699,16388,16,0,0.127230,1997,13699
16,13699,16388,16,0,0.128119,2013,13699
16,13699,16388,16,0,0.129006,2029,13699
16,13699,16388,16,0,0.129891,2045,13699
16,13699,16388,16,0,0.130774,2061,13699
16,13699,16388,16,0,0.131656,2077,13699
16,13699,16388,16,0,0.132535,2093,13699
16,13699,16388,16,0,0.133413,2109,13699
16,13699,16388,16,0,0.134290,2125,13699
16,13699,16388,16,0,0.135164,2141,13699
16,13715,16388,0,16,0.135028,2141,13715
16,13731,16388,0,16,0.134892,2141,13731
16,13747,16388,0,16,0.134756,2141,13747
16,13763,16388,0,16,0.134620,2141,13763
16,13778,16388,1,15,0.134548,2142,13778
16,13793,16388,1,15,0.134475,2143,13793
16,13809,16388,0,16,0.134341,2143,13809
16,13824,16388,1,15,0.134269,2144,13824
16,13840,16388,0,16,0.134134,2144,13840
16,13854,16388,2,14,0.134125,2146,13854
16,13862,16388,8,8,0.134491,2154,13862
16,13862,16388,16,0,0.135354,2170,13862
16,13878,16388,0,16,0.135219,2170,13878
16,13893,16388,1,15,0.135147,2171,13893
16,13908,16388,1,15,0.135075,2172,13908
16,13923,16388,1,15,0.135002,2173,13923
16,13931,16388,8,8,0.135365,2181,13931
16,13931,16388,16,0,0.136223,2197,13931
16,13931,16388,16,0,0.137079,2213,13931
16,13931,16388,16,0,0.137933,2229,13931
16,13931,16388,16,0,0.138786,2245,13931
16,13931,16388,16,0,0.139637,2261,13931
16,13947,16388,0,16,0.139499,2261,13947
16,13955,16388,8,8,0.139855,2269,13955
16,13955,16388,16,0,0.140702,2285,13955
16,13955,16388,16,0,0.141548,2301,13955
16,13971,16388,0,16,0.141409,2301,13971
16,13985,16388,2,14,0.141392,2303,13985
16,13998,16388,3,13,0.141438,2306,13998
16,14006,16388,8,8,0.141789,2314,14006
16,14006,16388,16,0,0.142630,2330,14006
16,14006,16388,16,0,0.143469,2346,14006
16,14021,16388,1,15,0.143390,2347,14021
16,14037,16388,0,16,0.143250,2347,14037
16,14053,16388,0,16,0.143110,2347,14053
16,14068,16388,1,15,0.143031,2348,14068
16,14084,16388,0,16,0.142892,2348,14084
16,14100,16388,0,16,0.142753,2348,14100
16,14116,16388,0,16,0.142614,2348,14116
16,14132,16388,0,16,0.142476,2348,14132
16,14140,16388,8,8,0.142823,2356,14140
16,14140,16388,16,0,0.143653,2372,14140
16,14156,16388,0,16,0.143514,2372,14156
16,14171,16388,1,15,0.143436,2373,14171
16,14177,16388,10,6,0.143901,2383,14177
16,14177,16388,16,0,0.144727,2399,14177
16,14177,16388,16,0,0.145552,2415,14177
16,14177,16388,16,0,0.146375,2431,14177
16,14177,16388,16,0,0.147197,2447,14177
16,14177,16388,16,0,0.148017,2463,14177
16,14177,16388,16,0,0.148835,2479,14177
16,14177,16388,16,0,0.149652,2495,14177
16,14177,16388,16,0,0.150467,2511,14177
16,14193,16388,0,16,0.150323,2511,14193
16,14209,16388,0,16,0.150179,2511,14209
16,14217,16388,8,8,0.150514,2519,14217
16,14217,16388,16,0,0.151325,2535,14217
16,14217,16388,16,0,0.152135,2551,14217
16,14217,16388,16,0,0.152943,2567,14217
16,14233,16388,0,16,0.152798,2567,14233
16,14241,16388,8,8,0.153128,2575,14241
16,14241,16388,16,0,0.153933,2591,14241
16,14241,16388,16,0,0.154736,2607,14241
16,14249,16388,8,8,0.155064,2615,14249
16,14249,16388,16,0,0.155865,2631,14249
16,14249,16388,16,0,0.156664,2647,14249
16,14264,16388,1,15,0.156575,2648,14264
16,14279,16388,1,15,0.156486,2649,14279
16,14295,16388,0,16,0.156339,2649,14295
16,14309,16388,2,14,0.156309,2651,14309
16,14325,16388,0,16,0.156162,2651,14325
16,14340,16388,1,15,0.156073,2652,14340
