rows,resident_pages,capacity_pages,hits,misses,hit_rate,total_hits,total_misses
32,32,16388,0,32,0.000000,0,32
32,64,16388,0,32,0.000000,0,64
480,544,16388,0,480,0.000000,0,544
6032,6160,16388,416,5616,0.063260,416,6160
8192,13266,16388,1086,7106,0.101706,1502,13266
64,13327,16388,3,61,0.101470,1505,13327
16,13343,16388,0,16,0.101360,1505,13343
16,13359,16388,0,16,0.101251,1505,13359
16,13375,16388,0,16,0.101142,1505,13375
16,13391,16388,0,16,0.101034,1505,13391
16,13407,16388,0,16,0.100925,1505,13407
16,13415,16388,8,8,0.101353,1513,13415
16,13431,16388,0,16,0.101245,1513,13431
16,13447,16388,0,16,0.101136,1513,13447
16,13463,16388,0,16,0.101028,1513,13463
16,13479,16388,0,16,0.100920,1513,13479
16,13495,16388,0,16,0.100813,1513,13495
16,13502,16388,9,7,0.101305,1522,13502
16,13502,16388,16,0,0.102261,1538,13502
16,13502,16388,16,0,0.103215,1554,13502
16,13518,16388,0,16,0.103105,1554,13518
16,13533,16388,1,15,0.103062,1555,13533
16,13541,16388,8,8,0.103483,1563,13541
16,13541,16388,16,0,0.104431,1579,13541
16,13541,16388,16,0,0.105378,1595,13541
16,13541,16388,16,0,0.106323,1611,13541
16,13541,16388,16,0,0.107265,1627,13541
16,13541,16388,16,0,0.108206,1643,13541
16,13541,16388,16,0,0.109145,1659,13541
16,13541,16388,16,0,0.110081,1675,13541
16,13541,16388,16,0,0.111016,1691,13541
16,13541,16388,16,0,0.111949,1707,13541
16,13541,16388,16,0,0.112880,1723,13541
16,13541,16388,16,0,0.113809,1739,13541
16,13541,16388,16,0,0.114736,1755,13541
16,13541,16388,16,0,0.115661,1771,13541
16,13541,16388,16,0,0.116584,1787,13541
16,13541,16388,16,0,0.117505,1803,13541
16,13541,16388,16,0,0.118424,1819,13541
16,13541,16388,16,0,0.119342,1835,13541
16,13541,16388,16,0,0.120257,1851,13541
16,13541,16388,16,0,0.121171,1867,13541
16,13541,16388,16,0,0.122082,1883,13541
16,13557,16388,0,16,0.121956,1883,13557
16,13571,16388,2,14,0.121959,1885,13571
16,13587,16388,0,16,0.121833,1885,13587
16,13595,16388,8,8,0.122224,1893,13595
16,13595,16388,16,0,0.123130,1909,13595
16,13595,16388,16,0,0.124034,1925,13595
16,13595,16388,16,0,0.124936,1941,13595
16,13595,16388,16,0,0.125836,1957,13595
16,13595,16388,16,0,0.126734,1973,13595
16,13595,16388,16,0,0.127631,1989,13595
16,13595,16388,16,0,0.128526,2005,13595
16,13611,16388,0,16,0.128394,2005,13611
16,13627,16388,0,16,0.128263,2005,13627
16,13635,16388,8,8,0.128643,2013,13635
16,13643,16388,8,8,0.129022,2021,13643
16,13659,16388,0,16,0.128890,2021,13659
16,13675,16388,0,16,0.128759,2021,13675
16,13689,16388,2,14,0.128755,2023,13689
16,13704,16388,1,15,0.128688,2024,13704
16,13720,16388,0,16,0.128557,2024,13720
16,13735,16388,1,15,0.128490,2025,13735
16,13751,16388,0,16,0.128360,2025,13751
16,13765,16388,2,14,0.128356,2027,13765
16,13781,16388,0,16,0.128226,2027,13781
16,13797,16388,0,16,0.128097,2027,13797
16,13804,16388,9,7,0.128535,2036,13804
16,13804,16388,16,0,0.129415,2052,13804
16,13804,16388,16,0,0.130292,2068,13804
16,13804,16388,16,0,0.131168,2084,13804
16,13804,16388,16,0,0.132042,2100,13804
16,13818,16388,2,14,0.132035,2102,13818
16,13833,16388,1,15,0.131965,2103,13833
16,13848,16388,1,15,0.131896,2104,13848
16,13863,16388,1,15,0.131826,2105,13863
16,13879,16388,0,16,0.131694,2105,13879
16,13884,16388,11,5,0.132250,2116,13884
16,13899,16388,1,15,0.132180,2117,13899
16,13915,16388,0,16,0.132048,2117,13915
16,13923,16388,8,8,0.132415,2125,13923
16,13939,16388,0,16,0.132283,2125,13939
16,13955,16388,0,16,0.132152,2125,13955
16,13971,16388,0,16,0.132020,2125,13971
16,13986,16388,1,15,0.131951,2126,13986
16,14002,16388,0,16,0.131820,2126,14002
16,14018,16388,0,16,0.131690,2126,14018
16,14034,16388,0,16,0.131559,2126,14034
16,14048,16388,2,14,0.131553,2128,14048
16,14056,16388,8,8,0.131917,2136,14056
16,14056,16388,16,0,0.132774,2152,14056
16,14056,16388,16,0,0.133629,2168,14056
16,14063,16388,9,7,0.134052,2177,14063
16,14078,16388,1,15,0.133981,2178,14078
16,14093,16388,1,15,0.133911,2179,14093
16,14109,16388,0,16,0.133779,2179,14109
16,14123,16388,2,14,0.133771,2181,14123
16,14138,16388,1,15,0.133701,2182,14138
16,14154,16388,0,16,0.133570,2182,14154
16,14170,16388,0,16,0.133439,2182,14170
16,14185,16388,1,15,0.133370,2183,14185
16,14199,16388,2,14,0.133362,2185,14199
16,14206,16388,9,7,0.133780,2194,14206
16,14206,16388,16,0,0.134625,2210,14206
16,14222,16388,0,16,0.134494,2210,14222
16,14230,16388,8,8,0.134849,2218,14230
16,14246,16388,0,16,0.134718,2218,14246
16,14262,16388,0,16,0.134587,2218,14262
16,14277,16388,1,15,0.134517,2219,14277
16,14293,16388,0,16,0.134387,2219,14293
16,14309,16388,0,16,0.134257,2219,14309
16,14325,16388,0,16,0.134127,2219,14325
16,14333,16388,8,8,0.134481,2227,14333
16,14333,16388,16,0,0.135316,2243,14333
16,14333,16388,16,0,0.136150,2259,14333
16,14333,16388,16,0,0.136982,2275,14333
16,14333,16388,16,0,0.137813,2291,14333
16,14333,16388,16,0,0.138642,2307,14333
16,14333,16388,16,0,0.139469,2323,14333
16,14333,16388,16,0,0.140295,2339,14333
16,14333,16388,16,0,0.141119,2355,14333
16,14349,16388,0,16,0.140984,2355,14349
16,14365,16388,0,16,0.140849,2355,14365
16,14373,16388,8,8,0.141193,2363,14373
16,14373,16388,16,0,0.142013,2379,14373
16,14373,16388,16,0,0.142832,2395,14373
16,14373,16388,16,0,0.143649,2411,14373
16,14381,16388,8,8,0.143988,2419,14381
16,14396,16388,1,15,0.143911,2420,14396
16,14404,16388,8,8,0.144249,2428,14404
16,14420,16388,0,16,0.144112,2428,14420
16,14428,16388,8,8,0.144450,2436,14428
16,14428,16388,16,0,0.145261,2452,14428
16,14428,16388,16,0,0.146070,2468,14428
16,14428,16388,16,0,0.146878,2484,14428
16,14444,16388,0,16,0.146739,2484,14444
16,14460,16388,0,16,0.146601,2484,14460
16,14476,16388,0,16,0.146462,2484,14476
16,14491,16388,1,15,0.146383,2485,14491
16,14506,16388,1,15,0.146304,2486,14506
