rows,resident_pages,capacity_pages,hits,misses,hit_rate,total_hits,total_misses
32,32,16388,0,32,0.000000,0,32
32,64,16388,0,32,0.000000,0,64
480,544,16388,0,480,0.000000,0,544
6032,7998,16388,6032,0,0.917275,6032,544
8192,13266,16388,8192,0,0.963164,14224,544
64,13327,16388,64,0,0.963323,14288,544
16,13343,16388,0,16,0.962284,14288,560
16,13359,16388,0,16,0.961249,14288,576
16,13372,16388,3,13,0.960417,14291,589
16,13387,16388,1,15,0.959452,14292,604
16,13403,16388,0,16,0.958423,14292,620
16,13418,16388,1,15,0.957462,14293,635
16,13434,16388,0,16,0.956437,14293,651
16,13448,16388,2,14,0.955548,14295,665
16,13456,16388,8,8,0.955061,14303,673
16,13471,16388,1,15,0.954109,14304,688
16,13487,16388,0,16,0.953092,14304,704
16,13503,16388,0,16,0.952077,14304,720
16,13511,16388,8,8,0.951596,14312,728
16,13511,16388,16,0,0.951647,14328,728
16,13511,16388,16,0,0.951699,14344,728
16,13527,16388,0,16,0.950689,14344,744
16,13542,16388,1,15,0.949748,14345,759
16,13558,16388,0,16,0.948743,14345,775
16,13565,16388,9,7,0.948335,14354,782
16,13580,16388,1,15,0.947400,14355,797
16,13588,16388,8,8,0.946928,14363,805
16,13588,16388,16,0,0.946984,14379,805
16,13588,16388,16,0,0.947039,14395,805
16,13588,16388,16,0,0.947095,14411,805
16,13588,16388,16,0,0.947151,14427,805
16,13588,16388,16,0,0.947206,14443,805
16,13588,16388,16,0,0.947262,14459,805
16,13588,16388,16,0,0.947317,14475,805
16,13588,16388,16,0,0.947372,14491,805
16,13588,16388,16,0,0.947427,14507,805
16,13588,16388,16,0,0.947482,14523,805
16,13588,16388,16,0,0.947536,14539,805
16,13588,16388,16,0,0.947591,14555,805
16,13588,16388,16,0,0.947646,14571,805
16,13588,16388,16,0,0.947700,14587,805
16,13588,16388,16,0,0.947754,14603,805
16,13588,16388,16,0,0.947809,14619,805
16,13588,16388,16,0,0.947863,14635,805
16,13588,16388,16,0,0.947917,14651,805
16,13588,16388,16,0,0.947971,14667,805
16,13588,16388,16,0,0.948024,14683,805
16,13603,16388,1,15,0.947110,14684,820
16,13619,16388,0,16,0.946134,14684,836
16,13635,16388,0,16,0.945160,14684,852
16,13643,16388,8,8,0.944702,14692,860
16,13659,16388,0,16,0.943731,14692,876
16,13667,16388,8,8,0.943275,14700,884
16,13667,16388,16,0,0.943333,14716,884
16,13667,16388,16,0,0.943391,14732,884
16,13667,16388,16,0,0.943449,14748,884
16,13667,16388,16,0,0.943507,14764,884
16,13667,16388,16,0,0.943565,14780,884
16,13667,16388,16,0,0.943622,14796,884
16,13667,16388,16,0,0.943680,14812,884
16,13667,16388,16,0,0.943737,14828,884
16,13667,16388,16,0,0.943795,14844,884
16,13681,16388,2,14,0.942962,14846,898
16,13697,16388,0,16,0.942005,14846,914
16,13713,16388,0,16,0.941050,14846,930
16,13721,16388,8,8,0.940603,14854,938
16,13737,16388,0,16,0.939651,14854,954
16,13753,16388,0,16,0.938701,14854,970
16,13769,16388,0,16,0.937753,14854,986
32,32,16388,0,32,0.000000,0,32
32,64,16388,0,32,0.000000,0,64
480,544,16388,0,480,0.000000,0,544
6032,7998,16388,6032,0,0.917275,6032,544
8192,13266,16388,8192,0,0.963164,14224,544
64,13327,16388,64,0,0.963323,14288,544
16,13343,16388,0,16,0.962284,14288,560
16,13359,16388,0,16,0.961249,14288,576
16,13375,16388,0,16,0.960215,14288,592
16,13390,16388,1,15,0.959251,14289,607
16,13405,16388,1,15,0.958289,14290,622
16,13421,16388,0,16,0.957262,14290,638
16,13429,16388,8,8,0.956772,14298,646
16,13429,16388,16,0,0.956818,14314,646
16,13429,16388,16,0,0.956864,14330,646
16,13429,16388,16,0,0.956910,14346,646
16,13429,16388,16,0,0.956956,14362,646
16,13445,16388,0,16,0.955937,14362,662
16,13460,16388,1,15,0.954987,14363,677
16,13476,16388,0,16,0.953972,14363,693
16,13492,16388,0,16,0.952959,14363,709
16,13507,16388,1,15,0.952015,14364,724
16,13522,16388,1,15,0.951073,14365,739
16,13530,16388,8,8,0.950595,14373,747
16,13545,16388,1,15,0.949656,14374,762
16,13561,16388,0,16,0.948654,14374,778
16,13577,16388,0,16,0.947653,14374,794
16,13592,16388,1,15,0.946720,14375,809
16,13600,16388,8,8,0.946250,14383,817
16,13600,16388,16,0,0.946307,14399,817
16,13600,16388,16,0,0.946363,14415,817
16,13600,16388,16,0,0.946419,14431,817
16,13600,16388,16,0,0.946475,14447,817
16,13600,16388,16,0,0.946531,14463,817
16,13600,16388,16,0,0.946587,14479,817
16,13600,16388,16,0,0.946643,14495,817
16,13600,16388,16,0,0.946699,14511,817
16,13600,16388,16,0,0.946754,14527,817
16,13600,16388,16,0,0.946810,14543,817
16,13600,16388,16,0,0.946865,14559,817
16,13600,16388,16,0,0.946920,14575,817
16,13614,16388,2,14,0.946067,14577,831
16,13622,16388,8,8,0.945604,14585,839
16,13622,16388,16,0,0.945661,14601,839
16,13622,16388,16,0,0.945717,14617,839
16,13622,16388,16,0,0.945773,14633,839
16,13622,16388,16,0,0.945829,14649,839
16,13638,16388,0,16,0.944853,14649,855
16,13654,16388,0,16,0.943879,14649,871
16,13662,16388,8,8,0.943422,14657,879
16,13662,16388,16,0,0.943480,14673,879
16,13662,16388,16,0,0.943538,14689,879
16,13662,16388,16,0,0.943596,14705,879
16,13662,16388,16,0,0.943654,14721,879
16,13662,16388,16,0,0.943712,14737,879
16,13662,16388,16,0,0.943769,14753,879
16,13662,16388,16,0,0.943827,14769,879
16,13678,16388,0,16,0.942863,14769,895
16,13694,16388,0,16,0.941901,14769,911
16,13702,16388,8,8,0.941450,14777,919
16,13710,16388,8,8,0.941001,14785,927
16,13726,16388,0,16,0.940043,14785,943
16,13741,16388,1,15,0.939151,14786,958
16,13756,16388,1,15,0.938261,14787,973
16,13771,16388,1,15,0.937373,14788,988
16,13787,16388,0,16,0.936424,14788,1004
16,13802,16388,1,15,0.935539,14789,1019
16,13818,16388,0,16,0.934593,14789,1035
16,13832,16388,2,14,0.933775,14791,1049
